Anglia-Route	0387	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	171	172	175	180	220	221	222	Notes
Anglia-Route	0387	EA1011	LTN1	Marks Tey Jn	Colchester Jn	Marks Tey Jn – Colchester Jn	46	49	51	65	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1011	LTN1	Colchester Jn	Manningtree South Jn	Colchester Jn – Manningtree South Jn	51	65	59	46	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1011	LTN1	Manningtree South Jn	Manningtree North Jn	Manningtree South Jn – Manningtree North Jn	59	46	59	69	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1011	LTN1	Manningtree North Jn	Ipswich	Manningtree North Jn – Ipswich	59	69	68	59	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1012	LTN1	Ipswich	East Suffolk Jn	Ipswich – East Suffolk Jn	68	59	69	41	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1012	LTN1	East Suffolk Jn	Trowse Jn (EA1013)	East Suffolk Jn – Trowse Jn (EA1013)	69	41	113	68	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1013	LTN2	Trowse Jn	Trowse Swing Bridge	Trowse Jn – Trowse Swing Bridge	123	00	123	37	N	N	N	N	N	N	Y	
Anglia-Route	0387	EA1013	NCW	Trowse Swing Bridge	Wensum Jn (EA1470 / ELR NOL 0m 60ch) via Through Sidings / Wensum Curve	Trowse Swing Bridge – Wensum Jn (EA1470 / ELR NOL 0m 60ch) via Through Sidings / Wensum Curve	0	00	0	28	N	N	N	N	N	N	Y	
Anglia-Route	0387	EA1013	LTN2	Trowse Swing Bridge	Norwich	Trowse Swing Bridge – Norwich	123	37	124	09	N	N	N	N	N	N	R1	R1 Prohibited Norwich Royal Dock Siding 1
Anglia-Route	0387	EA1020	CNS	Carpenters Rd South Jn	Carpenters Rd North Jn	Carpenters Rd South Jn – Carpenters Rd North Jn	1	12	0	70	N	N	N	N	N	N	Y	
Anglia-Route	0387	EA1030	FGW	Forest Gate Jn	Woodgrange Park Jn	Forest Gate Jn – Woodgrange Park Jn	0	00	0	31	N	E	N	N	N	N	N	
Anglia-Route	0387	EA1040	ROU	Romford	Upminster	Romford – Upminster	0	00	3	30	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1050	SSV	Shenfield Jn	Southend Victoria	Shenfield Jn – Southend Victoria	20	22	41	42	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1060	WIS	Wickford Jn	Southminster	Wickford Jn – Southminster	29	13	45	42	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1070	BRA	Witham	Braintree	Witham – Braintree	24	15	17	71	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1080	SUD	Marks Tey Jn	Sudbury	Marks Tey Jn – Sudbury	45	53	58	32	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1090	COC	Colchester Jn	Clacton	Colchester Jn – Clacton	52	28	69	56	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1100	STB	East Gate Jn	Colne Jn	East Gate Jn – Colne Jn	53	14	53	30	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1100	CTH	Hythe Jn	Colne Jn	Hythe Jn – Colne Jn	0	22	0	00	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1100	STB	Colne Jn	Colchester Town	Colne Jn – Colchester Town	53	30	53	76	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1110	TWN	Thorpe-Le-Soken Jn	Walton-On- Naze	Thorpe-Le-Soken Jn – Walton-On- Naze	65	19	70	15	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1120	MAH	Manningtree South Jn	Manningtree East Jn	Manningtree South Jn – Manningtree East Jn	59	35	59	67	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1120	NTE	Manningtree North Jn	Manningtree East Jn	Manningtree North Jn – Manningtree East Jn	0	00	0	24	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1120	MAH	Manningtree East Jn	Harwich International Port	Manningtree East Jn – Harwich International Port	59	67	68	72	N	N	N	N	N	N	N	
Anglia-Route	0387	EA1120	MAH	Harwich International Port	Harwich town	Harwich International Port – Harwich town	68	72	70	61	N	N	N	N	N	N	N	
