Anglia	0388	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	171	172	175	180	220	221	222	Notes
Anglia	0388	EA1130	GRW	Halifax Jn	Griffin Wharf Boundary	Halifax Jn – Griffin Wharf Boundary	0	00	0	47	N	N	N	N	N	N	N	
Anglia	0388	EA1150	CST	Channelsea South Jn	Stratford Central Jn West	Channelsea South Jn – Stratford Central Jn West	0	29	0	00	N	Y	N	N	N	E	Y	
Anglia	0388	EA1160	BGK	Bethnal Green East Jn	Reading Lane Jn	Bethnal Green East Jn – Reading Lane Jn	1	10	2	55	N	N	N	N	N	N	N	
Anglia	0388	EA1160	BGK	Reading Lane Jn	Hackney Downs North Jn	Reading Lane Jn – Hackney Downs North Jn	2	55	3	04	N	N	N	N	N	N	N	
Anglia	0388	EA1160	BGK	Hackney Downs North Jn	Coppermill Jn	Hackney Downs North Jn – Coppermill Jn	3	04	4	74	N	Y	N	N	N	N	N	
Anglia	0388	EA1160	BGK	Coppermill Jn	Tottenham South Jn	Coppermill Jn – Tottenham South Jn	4	74	5	41	N	R1	N	N	N	N	N	R1 Route prohibited to Class 172/2 and 172/3
Anglia	0388	EA1160	BGK	Tottenham South Jn	Bishops Stortford (Cannons Mill Lane Footpath LC (R/G-X)	Tottenham South Jn – Bishops Stortford (Cannons Mill Lane Footpath LC (R/G-X)	5	41	31	31	N	N	N	N	N	N	N	
Anglia	0388	EA1161	BGK	(Cannons Mill Lane Footpath LC (R/G- X) Stansted Mountfitchet	Shepreth Branch Jn	(Cannons Mill Lane Footpath LC (R/G- X) Stansted Mountfitchet – Shepreth Branch Jn	31	31	53	06	N	N	N	N	N	N	N	
Anglia	0388	EA1161	BGK	Shepreth Branch Jn	Ely Dock Jn	Shepreth Branch Jn – Ely Dock Jn	53	06	69	79	N	N	N	R1	N	N	R1 R2	R1 Must be planned as a non-stop train between Cambridge and Peterborough R2 Prohibited Cambridge platform 3
Anglia	0388	EA1161	BGK	Ely Dock Jn	Ely North Jn	Ely Dock Jn – Ely North Jn	69	79	71	68	N	N	N	R1	N	N	R1	R1 Must be planned as a non-stop train between Cambridge and Peterborough
Anglia	0388	EA1162	BGK	Ely North Jn	Kings Lynn	Ely North Jn – Kings Lynn	71	68	96	75	N	N	N	N	N	N	N	
Anglia	0388	EA1170	HDT	Hackney Downs North Jn	Seven Sisters Jn	Hackney Downs North Jn – Seven Sisters Jn	3	04	5	70	N	N	N	N	N	N	N	
Anglia	0388	EA1170	HDT	Seven Sisters Jn	Bury Street Jn	Seven Sisters Jn – Bury Street Jn	5	70	9	20	N	N	N	N	N	N	N	
Anglia	0388	EA1170	ENT	Bury Street Jn	Enfield Town	Bury Street Jn – Enfield Town	9	20	10	55	N	N	N	N	N	N	N	
Anglia	0388	EA1180	GRE	Reading Lane Jn	Navarino Road Jn (Graham Rd Curve)	Reading Lane Jn – Navarino Road Jn (Graham Rd Curve)	2	55	2	79	N	N	N	N	N	N	Y	
Anglia	0388	EA1190	HDT	Bury Street Jn	Cheshunt Jn	Bury Street Jn – Cheshunt Jn	9	20	14	28	N	N	N	N	N	N	N	
Anglia	0388	EA1200	CJC	Clapton Jn	Chingford	Clapton Jn – Chingford	4	37	10	33	N	N	N	N	N	N	N	
Anglia	0388	EA1210	HEB	Broxbourne Jn	Hertford East	Broxbourne Jn – Hertford East	18	35	24	19	N	N	N	N	N	N	N	
Anglia	0388	EA1220	TLA	Stansted South Jn	Stansted East Jn	Stansted South Jn – Stansted East Jn	33	54	34	26	N	N	N	N	N	N	N	
Anglia	0388	EA1220	TEN	Stansted North Jn	Stansted East Jn	Stansted North Jn – Stansted East Jn	0	00	0	49	N	N	N	N	N	N	N	
Anglia	0388	EA1220	TLA	Stansted East Jn	Stansted Airport	Stansted East Jn –Stansted Airport	34	26	36	67	N	N	N	N	N	N	N	
