Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	150	153	156	158	165	168	170	Notes
Anglia	0393	EA1010	LTN1	Liverpool Street platforms 1-10 – Liverpool St (L) IECC	0	00	0	22	Y	N	N	N	N	N	Y	
Anglia	0393	EA1010	LVS	Liverpool Street platforms 11-17 – Liverpool St (L) IECC	0	00	0	22	R1	N	N	N	N	N	R1	R1 Liverpool Street platforms 11-18 diesel traction see Sectional Appendix Local Instructions
Anglia	0393	EA1010	LTN1	Liverpool St (L) IECC – Bethnal Green East Jn	0	22	1	10	Y	N	N	N	N	N	Y	
Anglia	0393	EA1010	LTN1	Bethnal Green East Jn – Mile End	1	10	2	02	Y	N	N	N	N	N	Y	
Anglia	0393	EA1010	LTN1	Mile End – Bow Jn	2	02	2	74	Y	N	N	N	N	N	Y	
Anglia	0393	EA1010	LTN1	Bow Jn – Carpenters Road South Jn	2	74	3	54	Y	N	N	N	N	N	Y	
Anglia	0393	EA1010	LTN1	Carpenters Road South Jn – Stratford Central Jn West	3	54	3	70	Y	N	N	N	N	N	Y	
Anglia	0393	EA1010	LTN1	Stratford Central Jn West – Stratford Central Jn East	3	70	3	75	Y	N	E	N	N	N	Y	
Anglia	0393	EA1010	LTN1	Stratford Central Jn East – Forest Gate Jn	3	75	5	63	Y	N	E R1	N	E R1 R2	E R3	Y	R1 Prohibited Stratford platform 5 R2 Prohibited with footsteps fitted R3 Prohibited Maryland Platform 3
Anglia	0393	EA1010	LTN1	Forest Gate Jn – Ilford Depot London End	5	63	7	63	Y	N	E R1 R2	N	E R3 R4	E	Y	R1 20mph Manor Park platform 1 R2 20mph Ilford platforms 2, 3 and 4 R3 Prohibited Ilford platforms 2 and 3 R4 Prohibited with footsteps fitted
Anglia	0393	EA1010	LTN1	Ilford Depot London End – Seven Kings	7	63	8	45	Y	E R1	E	N	N	N	Y	R1 Prohibited with footsteps fitted
Anglia	0393	EA1011	LTN1	Seven Kings – Romford Jn	8	45	12	39	Y	E R1	E R2	N	N	N	Y	R1 Prohibited with footsteps fitted R2 Prohibited Chadwell Heath platform 1
