Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	Notes
Anglia	0435	EA1290	TSE2	Tottenham South Jn – Change of mileage	5	41	5	54	Y	Y	Y	N	N	N	N		
Anglia	0435	EA1290	TSE1	Change of mileage – South Tottenham East Jn	6	22	5	73	Y	Y	Y	N	N	N	N		
Anglia	0435	EA1300	SSL	South Tottenham West Jn – Seven Sisters Jn	0	13	0	00	Y	Y	N	N	N	N	N		
Anglia	0435	EA1310	BOK2	Camden Road West Jn – Gospel Oak Jn	0	00	1	10	Y	Y	Y	EH	N	Y	EH		
Anglia	0435	EA1310	BOK2	Gospel Oak Jn – Kensal Green Jn	1	10	5	10	Y	Y	Y	EH	N	Y	EH		
Anglia	0435	EA1310	KGC	Kensal Green Jn – Route Boundary (MD155) (Harlesden Jn)	0	00	0	21	Y	Y	Y	N	N	Y	N		
Anglia	0435	EA1310	KGW	Kensal Green Jn – Route Boundary (MD150) (Willesden Suburban Jn)	5	10	5	25	Y	Y	Y	N	N	N	N		
Anglia	0435	EA1310	BOK3	Kensal Green Jn – Willesden High Level Jn	5	10	5	48	Y	Y	Y	EH	N	Y	EH		
Anglia	0435	EA1310	WMB	Willesden High Level Jn – Route Boundary (MD160) (Mitre Bridge Jn)	0	43	0	09	Y	Y	Y	N	N	N	N		
Anglia	0435	EA1310	BOK4	Willesden High Level Jn – Former Old Oak Jn (change of mileage)	0	00	0	34	Y	Y	Y	EH	N	Y	N		
Anglia	0435	EA1310	BOK4	Former Old Oak Jn (change of mileage) – Acton Wells Jn (Connection EA1360)	0	34	0	66	Y	Y	Y	EH	N	Y	N		
Anglia	0435	EA1310	BOK5	Acton Wells Jn (Connection to EA1360) – Acton Wells Jn (Connecton to GW130)	0	66	0	72	Y	Y	Y	EH	N	Y	N		
Anglia	0435	EA1310	AWL	Acton Wells Jn – Route Boundary (GW130) (Acton East Jn)	0	49	0	39	Y	Y	Y	EH	N	Y	N		
Anglia	0435	EA1310	BOK5	Acton Wells Jn (Connecton to GW130) – Acton Central (Limit of AC)	0	72	1	73	Y	Y	Y	N	N	N	N		
Anglia	0435	EA1310	BOK5	Acton Central (Limit of AC) – South Acton Jn	1	73	2	52	Y	Y	Y	N	N	N	N		
Anglia	0435	EA1310	SAR1	South Acton Jn – Gunnersbury Jn	2	52	3	12	Y	Y	N	N	N	N	N		
Anglia	0435	EA1310	SAR2	Gunnersbury Jn – Richmond	9	72	12	39	Y	Y	N	N	N	N	N		
Anglia	0435	EA1320	CRC1/2	Route Boundary (MD145) (Camden Jn) – Camden Road West Jn	5	42	5	10	Y	Y	Y	EH R1	N	Y	N	R1	R2 Prohibited with footsteps fitted
Anglia	0435	EA1320	BOK1	Camden Road West Jn – Camden Road Central Jn	5	10	4	64	Y	Y	Y	EH	N	Y	EH		
Anglia	0435	EA1320	CRF1	Camden Road Central Jn – Route Boundary (LN115) (North London Incline)	0	51	0	20	Y	Y	Y	EH R1	N	Y	EH	R1	R2 Prohibited with footsteps fitted
