Anglia	0479	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge									Notes
Anglia	0479					GB1/2	W6A	W7	W8	W9	W9Plus	W10	W10A	W12
Anglia	0479	EA1380	Barking Tilbury Jn West – Upminster	Barking Tilbury Jn West	Upminster	N	Y *	Y	Y	R1 R2	N	Y	N	N	R1 W9 Prohibited on up line through Upminster station (Platform 1). Platform 2 is Bi-directional R2 15mph at Bridge 30 at 14m 20ch London side of Upminster on Up and Down lines.
Anglia	0479	EA1380	Upminster – Shoeburyness	Upminster	Shoeburyness	N	Y *	Y	Y	N	N	N	N	N
Anglia	0479	EA1390	Barking Tilbury Line Jn East – Former Tilbury West Jn	Barking Tilbury Line Jn East	Former Tilbury West Jn	R1	Y	Y	Y	Y	N	Y	N	N	R1 GB1/2 between the following locations and via the following lines only: • Exchange Sidings Nos 1, 2 & 3 and Hanson Sidings/Ford Motor Company Sidings (via Ford Motor Company Connecting line) • Exchange Sidings Nos 1, 2 & 3 and the CTRL lines (via the Ripple Lane Chords) • Ripple Lane West Yard Siding No 1 and Exchange Sidings Nos 1, 2 & 3 (via Renwick Road Jn) • Ripple Lane West Yard Siding No 1 and western entrance to Barking Freightliner Depot (via the Goods lines) Ripple Lane West Yard Siding No 1 and Stora Sidings.
Anglia	0479	EA1390	Former Tilbury West Jn – Pitsea via Tilbury	Former Tilbury West Jn	Pitsea via Tilbury	N	Y	Y	Y	R1	N	R1	N	N	R1 W9 and W10 between former Tilbury West Jn and Thames Haven Jn only.
Anglia	0479	EA1400	Gas Factory Jn – Bow Jn	Gas Factory Jn	Bow Jn	N	Y *	N	N	N	N	N	N	N
Anglia	0479	EA1410	Upminster – West Thurrock Jn	Upminster	West Thurrock Jn	N	Y *	Y	Y	Y	N	Y	N	N
Anglia	0479	EA1420	Thames Haven Jn – Thames Haven	Thames Haven Jn	Thames Haven	N	Y *	Y	Y	Y	N	Y	N	N
Anglia	0479	EA1430	East Suffolk Jn – Westerfield Jn	East Suffolk Jn	Westerfield Jn	N	Y	Y	Y	N	N	Y	N	N
Anglia	0479	EA1430	Westerfield Jn – Oulton Broad North Jn	Westerfield Jn	Oulton Broad North Jn	N	Y	N	N	N	N	N	N	N
Anglia	0479	EA1440	Westerfield Jn – Felixstowe Beach Jn	Westerfield Jn	Felixstowe Beach Jn	N	Y*	Y	Y	N	N	Y	N	N
Anglia	0479	EA1440	Felixstowe Beach Jn– Felixstowe Town	Felixstowe Beach Jn– Felixstowe Town		N	Y *	Y	Y	N	N	N	N	N
Anglia	0479	EA1450	Trimley – Port of Felixstowe North Quay Terminal	Trimley	Port of Felixstowe North Quay Terminal	N	Y *	Y	Y	N	N	Y	N	N
Anglia	0479	EA1460	Felixstowe Beach Jn – Felixstowe Beach	Felixstowe Beach Jn	Felixstowe Beach	N	Y	Y	Y	N	N	Y	N	N
