Kent-Sussex-Wessex	0899	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
Kent-Sussex-Wessex	0899	SO110	TLP2	Bickley Jn	Petts Wood (Slow Tonbridge Loop)	Bickley Jn – Petts Wood (Slow Tonbridge Loop)	12	49	13	35	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	CSM3	Hawkwood Jn (Up Chatham Loop)	St Mary Cray Jn	Hawkwood Jn (Up Chatham Loop) – St Mary Cray Jn	11	66	12	30	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	Bickley Jn	St Mary Cray Down Jn	Bickley Jn –St Mary Cray Down Jn	12	38	12	79	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	St Mary Cray Down Jn	St Mary Cray Up Jn	St Mary Cray Down Jn – St Mary Cray Up Jn	12	79	13	17	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	St Mary Cray Up Jn	Swanley Jn	St Mary Cray Up Jn – Swanley Jn	13	17	17	46	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	Swanley Jn	Fawkham Jn	Swanley Jn – Fawkham Jn	17	46	22	49	8	N	N	N	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	Fawkham Jn	CTRL	Fawkham Jn –CTRL	22	49	0	00	8	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	0899	SO110	VIR	Fawkham Jn	Rochester Bridge Jn	Fawkham Jn –Rochester Bridge Jn	22	49	33	01	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	Rochester Bridge Jn	Gillingham	Rochester Bridge Jn – Gillingham	33	01	35	75	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	Gillingham	Western Jn	Gillingham –Western Jn	35	75	43	70	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	WesternJn	Eastern Jn	WesternJn –Eastern Jn	43	70	44	18	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	Eastern Jn	Faversham Jn	Eastern Jn – Faversham Jn	44	18	52	13	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	VIR	Faversham Jn	Ramsgate Station	Faversham Jn –Ramsgate Station	52	13	79	21	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO110	ACR	Ramsgate Station	Ramsgate Substation	Ramsgate Station – Ramsgate Substation	85	67	85	22	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO130	XTD	Charing Cross	Metropolitan Jn	Charing Cross – Metropolitan Jn	0	00	1	31	4	R1 R2	R1 R2	R1 R2	R1 R2	R1 R2	R1 R2	R1 R2	R1 Prohibited (from points 648) on to the track leading into Charing Cross platform 1 R2 15mph over Charing Cross Bridge (0m 27ch) with all vehicles prohibited on adjacent tracks unless specially authorised by the Structures Engineer
Kent-Sussex-Wessex	0899	SO130	CBM	Cannon Street	Cannon Street Substation	Cannon Street – Cannon Street Substation	0	00	0	20	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO130	CSW	Cannon Street Sub Station	Metropolitan Jn (via Metropolitan Reversible line)	Cannon Street Sub Station – Metropolitan Jn (via Metropolitan Reversible line)	1	53	1	33	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0899	SO130	XTD	Metropolitan Jn	Borough Market Jn	Metropolitan Jn – Borough Market Jn	1	31	1	50	8	R1	R1	R1	R1	R1	R1	R1	R1 15mph on the Up and Down Cannon Street lines
Kent-Sussex-Wessex	0899	SO130	CBM	Cannon Street Substation	Borough Market Jn	Cannon Street Substation – Borough Market Jn	0	20	0	38	8	Y	Y	Y	Y	Y	Y	Y	
