Kent-Sussex-Wessex	0909	Line of route	ELR	LineofRoute/SectorDescription		LineofRoute/SectorDescription	 M	 Ch	 M	 Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
Kent-Sussex-Wessex	0909	SO620	BTL	MontpelierJn	Lewes	MontpelierJn–Lewes	0	14	7	77	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO620	KJE1/2	Lewes	Southerham Jn [Duplicated on SO590]	Lewes–SoutherhamJn[DuplicatedonSO590]	49	74	51	11	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO620	STS	SoutherhamJn	Newhaven Harbour Jn	SoutherhamJn–NewhavenHarbourJn	51	11	56	55	7	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO620	NHB	NewhavenHarbourJn	Wharf Road (Newhaven Marine)	NewhavenHarbourJn–WharfRoad(NewhavenMarine)	56	55	57	78	7	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO620	STS	NewhavenHarbourJn	Seaford	NewhavenHarbourJn–Seaford	56	55	58	77	7	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO630	BLI1	Brightonplatforms1and2	Hove Jn	Brightonplatforms1and2–HoveJn	0	00	1	28	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO630	BLI1	HoveJn	Hove platforms 2 and 3	HoveJn–Hoveplatforms2and3	1	28	1	35	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO630	PPH	HoveJn	Hove Up platform loop via platform 1	HoveJn–HoveUpplatformloopviaplatform1	50	48	51	02	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO630	BLI1	HoveUpplatformloopandplatforms2,and3	Arundel Jn	HoveUpplatformloopandplatforms2,and3–ArundelJn	1	28	19	01	8	R1	R1	R1	R1	R1	R1	R1	R1 20mph over Bridge 453 Shoreham Viaduct (6m 40ch)
Kent-Sussex-Wessex	0909	SO630	BLI1	ArundelJn	Littlehampton Jn (Change of Mileage)	ArundelJn–LittlehamptonJn(ChangeofMileage)	19	01	19	25	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO630	FJL	LittlehamptonJn	Ford Jn	LittlehamptonJn–FordJn	60	57	60	26	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO630	BLI2	LittlehamptonJn(ChangeofMileage)	Littlehampton	LittlehamptonJn(ChangeofMileage)–Littlehampton	60	57	62	03	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO640	BBR	Barnham	Bognor Regis	Barnham–BognorRegis	22	29	25	75	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO645	ATL	BatterseaPark	Factory Jn	BatterseaPark–FactoryJn	7	27	6	67	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO645	ATL	FactoryJn	Wandsworth Road Jn	FactoryJn–WandsworthRoadJn	6	67	6	53	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO645	ATL	WandsworthRoadJn	Shepherds Lane Jn	WandsworthRoadJn–ShepherdsLaneJn	6	53	5	68	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO645	ATL	ShepherdsLaneJn	Crofton Road Jn	ShepherdsLaneJn–CroftonRoadJn	5	68	3	67	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO645	ATL	CroftonRoadJn	Peckham Rye Jn	CroftonRoadJn–PeckhamRyeJn	3	67	3	47	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	BBJ	BalhamJn(SO500)	Leigham Jn	BalhamJn(SO500)–LeighamJn	4	69	6	31	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	BBJ	LeighamJn	West Norwood Jn	LeighamJn–WestNorwoodJn	6	31	6	58	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	BBJ	WestNorwoodJn	Crystal Palace platforms 1 and 2	WestNorwoodJn–CrystalPalaceplatforms1and2	6	58	8	56	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	SCP	CrystalPalaceplatforms3-6	Sydenham Up Jn	CrystalPalaceplatforms3-6–SydenhamUpJn	7	52	6	49	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	BBJ	CrystalPalaceplatforms1and2	Bromley Up Jn	CrystalPalaceplatforms1and2–BromleyUpJn	8	56	9	36	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	BJN1	BromleyUpJn	Norwood North Jn	BromleyUpJn–NorwoodNorthJn	9	36	9	75	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	BBJ	BromleyUpJn	Bromley Down Jn	BromleyUpJn–BromleyDownJn	9	36	9	48	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0909	SO650	BJN2	BromleyDownJn	Norwood North Jn	BromleyDownJn–NorwoodNorthJn	9	48	9	75	8	Y	Y	Y	Y	Y	Y	Y	
