Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
Kent-Sussex-Wessex	0948	SO290	NKL	Charlton – Slade Green Jn	7	44	15	36	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO290	NKL	Slade Green Jn – Crayford Creek Jn	15	36	15	66	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO290	NKL	Crayford Creek Jn – Crayford Spur ‘A’ Jn	15	66	16	42	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO290	NKL	Crayford Spur ‘A’ Jn – Dartford Jn	16	42	16	75	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO300	BEX	Lewisham Jn – Blackheath Jn	5	74	7	14	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO300	BTC	Blackheath Jn – Charlton Jn	7	14	8	67	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO300	BEX	Blackheath Jn – Perry Street Fork Jn	7	14	15	07	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO300	PSF	Perry Street Fork Jn – Slade Green Jn	15	07	15	31	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO300	BEX	Perry Street Fork Jn – Crayford Creek Jn	15	07	15	66	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	HDR	Hither Green Jn (SO290) – Lee Loop Jn	7	16	7	29	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	LEE	Lee Loop Jn – Lee Spur Jn	0	00	0	29	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	HDR	Lee Loop Jn – Lee	7	29	7	66	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	HDR	Lee – Crayford Spur ‘B’ Jcn	7	66	16	11	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	CRA	Crayford Spur ‘B’ Jn – Crayford Spur ‘A’ Jn	16	11	16	43	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	HDR	Crayford Spur ‘B’ Jcn – Dartford Jn	16	11	16	75	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	HDR	Dartford Jn – Hoo Jn	16	75	27	19	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	HDR	Hoo Jn – Strood Jn	27	19	31	16	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	HDR	Strood Jn – Rochester Bridge Jn	31	16	31	34	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO310	PWS2	Strood Jn – Maidstone West Change of Mileage	31	16	42	41	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO320	HTG	Hoo Jn – Grain LC and Sidings beyond	27	19	38	22	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	0948	SO330	NTL	Nunhead Jn (SO260) – Lewisham Jn	6	09	6	21	Y	Y	Y	N	N	N	N	
