Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
Kent-Sussex-Wessex	0963	SO310	HDR	Hoo Jn – Strood Jn	27	19	31	16	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO310	HDR	Strood Jn – Rochester Bridge Jn	31	16	31	34	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO310	PWS2	Strood Jn – Maidstone West Change of Mileage	31	16	42	41	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO320	HTG	Hoo Jn – Grain LC and Sidings beyond	27	19	38	22	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	NTL	Nunhead Jn (SO260) – Lewisham Jn	6	09	6	21	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	LVT	Tanners Hill Jn (SO130) – Lewisham Jn	5	29	5	55	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	BEX	St Johns Jn (SO130) – Lewisham Jn	5	54	5	74	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	LCH	Lewisham Jn – Courthill Loop North Jn	5	74	6	21	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	NCS	Courthill Loop North Jn – Courthill Loop South Jn	6	21	6	43	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	LCH	Courthill Loop North Jn – Ladywell Jn	6	21	6	41	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	LCH	Ladywell Jn – New Beckenham Jn	6	41	9	51	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	NBB	New Beckenham Jn – Beckenham Jn	9	51	10	04	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO330	LCH	New Beckenham Jn – Hayes	9	51	14	32	4	R1	R1	R1	R1	R1	R1	R1	R1 40mph over Bridge 711 (12m 43ch)
Kent-Sussex-Wessex	0963	SO350	BNG	Grove Park (SO130) – Bromley North	8	87	10	47	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Victoria platforms 9-19 – Battersea Pier Jn	0	00	0	71	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Battersea Pier Jn – Battersea Park Jn	0	71	1	13	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Battersea Park Jn – Pouparts Jn	1	13	2	03	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Pouparts Jn – Falcon Jn	2	03	2	66	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	WLL	Falcon Jn – Latchmere No1 Jn via Clapham Jn platforms 16 and 17	0	00	0	63	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Falcon Jn – Balham Jn	2	66	4	69	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Balham Jn – Streatham North Jn	4	69	6	14	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	SNS	Streatham North Jn – Streatham South Jn via Reversible Fast Spur	6	16	6	35	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	SLJ	Streatham North Jn – Streatham South Jn via Slow Spurs	6	14	6	38	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Streatham North Jn – Selhurst Jn	6	14	9	43	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	WCS	Selhurst Jn – Gloucester Road Jn	9	44	9	62	8	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0963	SO500	VTB1	Selhurst Jn – Windmill Bridge Jn	9	43	10	12	8	Y	Y	Y	Y	Y	Y	Y	
