Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	57	58	59	60	66	67	68	70	73	97/3	Notes
Kent-Sussex-Wessex	0990	SO500	VTB3	Change of Mileage (Quarry / Fast lines) – Three Bridges	21	15	29	21	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO500	VTB3	Three Bridges – Copyhold Jn	29	21	36	73	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO500	CJA1	Copyhold Jn – Change of Mileage	36	73	36	33	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO500	CJA2	Change of Mileage – Ardingly Sidings	0	00	0	70	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO500	VTB3	Copyhold Jn – Keymer Jn	36	73	40	69	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO500	VTB3	Keymer Jn – Preston Park Jn	40	69	49	43	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO500	PPH	Preston Park Jn – Hove Jn	49	21	50	44	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO500	VTB3	Preston Park Jn – Brighton	49	43	50	49	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	LBW	London Bridge platforms 10-15 – Bricklayers Arms Jn	0	00	2	12	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	LBW	Bricklayers Arms Jn – New Cross Gate Up Jn	2	12	2	60	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	ELL1	New Cross Gate Up Jn – Network Rail Boundary / Up ELL	5	51	5	49	8	N	N	N	N	Y	N	N	N	Y	N	
Kent-Sussex-Wessex	0990	SO510	LBW	New Cross Gate Up Jn – New Cross Gate Down Jn	2	60	3	10	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	ELL1	New Cross Gate Down Jn – Network Rail Boundary / Down ELL	6	02	5	79	8	N	N	N	N	Y	N	N	N	Y	N	
Kent-Sussex-Wessex	0990	SO510	LBW	New Cross Gate Down Jn – Sydenham Down Jn	3	10	6	51	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	LBW	Sydenham Down Jn – Norwood Jn	6	51	8	55	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	LBW	Norwood Jn – Norwood Fork Jn	8	55	9	33	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	LBW	Norwood Fork Jn – Cottage Jn / Windmill Bridge Jn	9	33	9	64	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	NFE	Norwood Fork Jn – Sutton	9	33	14	75	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO510	NFE	Sutton – Epsom Downs	14	75	18	60	8	Y	Y	Y	Y	Y	Y	N	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO520	TBH1	Three Bridges – Crawley	29	21	30	49	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO520	TBH1	Crawley – Horsham Jn	30	49	37	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO520	TBH1	Horsham Jn – Horsham	37	39	37	56	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	0990	SO520	TBH1	Horsham – Billingshurst	37	56	44	71	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
