Kent-Sussex-Wessex	0997	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	313	319	325	377	378	380	387
Kent-Sussex-Wessex	0997	SW100	JAT	Waterloo platforms 20-24	International Jn	Waterloo platforms 20-24 – International Jn	00	00	0	38	N	N	N	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	RDG1	Waterloo platforms 12-19	International Jn (Windsor lines)	Waterloo platforms 12-19 – International Jn (Windsor lines)	0	00	0	38	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	RDG1	International Jn	Carlisle Lane Jn (Windsor lines)	International Jn – Carlisle Lane Jn (Windsor lines)	0	38	0	42	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	RDG1	Carlisle Lane Jn	Nine Elms Jn (Windsor lines)	Carlisle Lane Jn – Nine Elms Jn (Windsor lines)	0	42	2	00	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	BML1	Waterloo platforms 1-11	International Jn (Main lines)	Waterloo platforms 1-11 – International Jn (Main lines)	0	00	0	38	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	BML1	International Jn	Carlisle Lane Jn (Main lines)	International Jn – Carlisle Lane Jn (Main lines)	0	38	0	42	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	BML1	Carlisle Lane Jn	Nine Elms Jn (Main lines)	Carlisle Lane Jn – Nine Elms Jn (Main lines)	0	42	2	00	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	AHG	Nine Elms Jn	Route Boundary (Kent SO110) (Lindford Street Jn)	Nine Elms Jn – Route Boundary (Kent SO110) (Lindford Street Jn)	2	00	2	44	N	N	N	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	RDG1	Nine Elms Jn	West London Jn (Windsor lines)	Nine Elms Jn – West London Jn (Windsor lines)	2	00	3	17	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	BML1	Nine Elms Jn	Crossovers at 2m 65ch (Main lines)	Nine Elms Jn – Crossovers at 2m 65ch (Main lines)	2	00	2	65	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	BML1	Crossovers at 2m 65	West London Jn (Main lines)	Crossovers at 2m 65 – West London Jn (Main lines)	2	65	3	17	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	SCC	West London Jn	Route Boundary (Sussex SO250) (Lathmere Jn No.3)	West London Jn – Route Boundary (Sussex SO250) (Lathmere Jn No.3)	3	17	3	30	N	N	N	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	RDG1	West London Jn	Ludgate Jn (Windsor lines)	West London Jn – Ludgate Jn (Windsor lines)	3	17	3	57	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	BML1	West London Jn	Ludgate Jn (Main lines)	West London Jn – Ludgate Jn (Main lines)	3	17	3	57	N	Y	H	N	N	N	N
Kent-Sussex-Wessex	0997	SW100	FLL2/3	Route Boundary (Sussex SO250) (Longhedge Jn)	Ludgate Jn	Route Boundary (Sussex SO250) (Longhedge Jn) – Ludgate Jn	1	77	3	57	N	Y	H	Y	Y	N	Y
Kent-Sussex-Wessex	0997	SW100	CJL	Ludgate Jn	Route Boundary (Sussex SO250) (Latchmere Jn No.2)	Ludgate Jn – Route Boundary (Sussex SO250) (Latchmere Jn No.2)	0	30	0	47	Y	Y	H	Y	Y	N	Y
