Kent-Sussex-Wessex	1007	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	442	444	450	455	456	458	508	700	Notes
Kent-Sussex-Wessex	1007	SW110	WPH1	Woking Jn	Guilford	Woking Jn – Guilford	24	62	30	27	Y	Y	Y	Y	R1	R1	Y	N	R1 15mph Guildford platform 4
Kent-Sussex-Wessex	1007	SW110	WPH1	Guilford	Shalford Jn	Guilford – Shalford Jn	30	27	31	42	Y	Y	Y	Y	R1	R1	Y	N	R1 15mph Guildford platform 4
Kent-Sussex-Wessex	1007	SW110	WPH1	Shalford Jn	Haslemere	Shalford Jn – Haslemere	31	42	42	79	Y	Y	Y	Y	Y	Y	Y	N	
Kent-Sussex-Wessex	1007	SW110	WPH1	Haslemere	Havant Jn	Haslemere – Havant Jn	42	79	66	17	R1	R1	Y	N	N	R2	N	N	R1 40mph through Buriton Tunnel (57m 46ch to 57m 68ch) R2 Class 458/5 only
Kent-Sussex-Wessex	1007	SW110	TBH2	Route Boundary (Sussex SO250) (Barnham)	Havant Jn [Duplicated on SO520]	Route Boundary (Sussex SO250) (Barnham) – Havant Jn [Duplicated on SO520]	35	35	37	25	Y	Y	Y	N	N	N	N	N	
Kent-Sussex-Wessex	1007	SW110	WPH2	Havant Jn	Farlington Jn [Duplicated on SO520]	Havant Jn – Farlington Jn [Duplicated on SO520]	37	24	40	33	Y	Y	Y	N	N	R1	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1007	SW110	WPH2	Farlington Jn	Portcreek Jn [Duplicated on SO520]	Farlington Jn – Portcreek Jn [Duplicated on SO520]	40	33	41	03	Y	Y	Y	N	N	R1	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1007	SW110	WPH2	Portcreek Jn	Blackfriars Jn [Duplicated on SO520]	Portcreek Jn – Blackfriars Jn [Duplicated on SO520]	41	03	44	50	Y	Y	Y	N	N	R1	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1007	SW110	PAS	Blackfriars Jn	Portsmouth and Southsea Low Level [Duplicated on SO520]	Blackfriars Jn – Portsmouth and Southsea Low Level [Duplicated on SO520]	44	26	44	50	Y	Y	Y	N	N	R1	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1007	SW110	WPH2	Blackfriars Jn	Portsmouth and Southsea High Level [Duplicated on SO520]	Blackfriars Jn – Portsmouth and Southsea High Level [Duplicated on SO520]	44	26	44	50	Y	Y	Y	N	N	R1	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1007	SW110	WPH2	Portsmouth and Southsea High Level	Portsmouth Harbour * platforms 4 and 5 RA7 * platforms 1 and 3 RA4 [Duplicated on SO520]	Portsmouth and Southsea High Level – Portsmouth Harbour * platforms 4 and 5 RA7 * platforms 1 and 3 RA4 [Duplicated on SO520]	44	50	45	36	Y	Y	Y	N	N	R1	N	N	R1 Class 458/5 only
Kent-Sussex-Wessex	1007	SW115	BAE1	Worting Jn	Connection to Ludgershall Branch line	Worting Jn – Connection to Ludgershall Branch line	51	15	66	27	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1007	SW115	LUD1	Connection to main Up line (BAE1)	Red Post Jn	Connection to main Up line (BAE1) – Red Post Jn	66	27	67	61	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1007	SW115	LUD2	Red Post Jn	Ludgershall	Red Post Jn – Ludgershall	0	00	5	64	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1007	SW115	BAE1	Connection to Ludgershall Branch line	Laverstock North Jn	Connection to Ludgershall Branch line – Laverstock North Jn	66	27	82	05	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1007	SW115	LAV	Laverstock North Jn	Laverstock South Jn	Laverstock North Jn – Laverstock South Jn	82	05	82	39	Y	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1007	SW115	BAE1	Laverstock North Jn	Salisbury Tunnel Jn	Laverstock North Jn – Salisbury Tunnel Jn	82	05	82	36	Y	N	N	N	N	N	N	N	
