Kent-Sussex-Wessex	1034	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Kent-Sussex-Wessex	1034	SW220	WLL	Latchmere Jn No.1	Latchmere Jn No.2 [Duplicated in SO250]	Latchmere Jn No.1 – Latchmere Jn No.2 [Duplicated in SO250]	0	63	0	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW220	WLL	Latchmere Jn No.2	Kensington Olympia [Duplicated in SO250]	Latchmere Jn No.2 – Kensington Olympia [Duplicated in SO250]	0	71	3	42	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW225	PPW	Point Pleasant Jn – Network Rail Boundary (TfL	District Line)	Point Pleasant Jn – Network Rail Boundary (TfL – District Line)	5	09	5	67	6	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1034	SW225	PPW	Network Rail Boundary (TfL – District Line)	Wimbledon North Jn (TfL infrastructure)	Network Rail Boundary (TfL – District Line) – Wimbledon North Jn (TfL infrastructure)	5	67	8	26	6	N	N	N	N	N	N	N	N	
Kent-Sussex-Wessex	1034	SW230	HOU	Barnes	New Kew Jn	Barnes – New Kew Jn	7	07	9	34	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW230	NKE2	New Kew Jn	Route Boundary (EA1330) (Kew East Jn)	New Kew Jn – Route Boundary (EA1330) (Kew East Jn)	9	34	9	64	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW230	HOU	New Kew Jn	Old Kew Jn	New Kew Jn – Old Kew Jn	9	34	10	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW230	BOK5	Old Kew Jn	Route Boundary (EA1330) (Kew East Jn)	Old Kew Jn – Route Boundary (EA1330) (Kew East Jn)	3	69	3	61	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW230	HOU	Old Kew Jn	Hounslow Jn	Old Kew Jn – Hounslow Jn	10	01	14	09	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW230	HJW	Hounslow Jn	Whitton Jn	Hounslow Jn – Whitton Jn	14	09	14	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW230	HOU	Hounslow Jn	Feltham Jn	Hounslow Jn – Feltham Jn	14	09	14	38	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW245	TSJ	Jn (Twickenham)	Strawberry Hill Jn	Jn (Twickenham) – Strawberry Hill Jn	11	48	12	27	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW245	SHF	Strawberry Hill Jn	Fulwell Jn	Strawberry Hill Jn – Fulwell Jn	12	27	12	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW245	TSJ	Strawberry Hill Jn	Shacklegate Jn	Strawberry Hill Jn – Shacklegate Jn	12	27	12	58	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW250	SWE	Staines	Windsor and Eton Riverside	Staines – Windsor and Eton Riverside	19	02	25	48	4	R1	R1	R1	R1	R1	R1	R1	R1	R1 20 mph over bridge 3/62 (25m 48ch) High Street (Staines) STNC/G1/2010/ICP-RA/SO021a until 31 March 2024
Kent-Sussex-Wessex	1034	SW255	VWW	Virginia Water Jn	Addlestone Jn	Virginia Water Jn – Addlestone Jn	24	73	19	74	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW255	AJB	Addlestone Jn	Byfleet Jn	Addlestone Jn – Byfleet Jn	0	00	0	67	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW255	VWW	Addlestone Jn	Weybridge	Addlestone Jn – Weybridge	19	74	19	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW260	AAV	Ascot	Ash Vale Jn	Ascot – Ash Vale Jn	28	79	40	57	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW265	GTW1	Guilford	Change of ELR	Guilford – Change of ELR	30	27	35	50	8	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1034	SW265	GTW2	Change of ELR	Aldershot South Jn	Change of ELR – Aldershot South Jn	48	34	50	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
