Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	58	59	60	66	67	68	70	73	97/3	Notes
Kent-Sussex-Wessex	1106	SW245	SHF	Strawberry Hill Jn – Fulwell Jn	12	27	12	56	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW245	TSJ	Strawberry Hill Jn – Shacklegate Jn	12	27	12	58	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW250	SWE	Staines – Windsor and Eton Riverside	19	02	25	48	4	R1	R1	R1	R1	R1	N	N	R1	R1	R1 20 mph over bridge 3/62 (25m 48ch) High Street (Staines) STNC/G1/2010/ICP-RA/SO021a until 31 March 2024
Kent-Sussex-Wessex	1106	SW255	VWW	Virginia Water Jn – Addlestone Jn	24	73	19	74	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW255	AJB	Addlestone Jn – Byfleet Jn	0	00	0	67	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW255	VWW	Addlestone Jn – Weybridge	19	74	19	12	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW260	AAV	Ascot – Ash Vale Jn	28	79	40	57	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW265	GTW1	Guilford – Change of ELR	30	27	35	50	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW265	GTW2	Change of ELR – Aldershot South Jn	48	34	50	01	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW265	NSA	Aldershot South Jn – Aldershot North Jn	50	01	50	43	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW265	GTW2	Aldershot South Jn – Wokingham Jn	50	01	61	74	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Kent-Sussex-Wessex	1106	SW300	RSJ	Route Boundary (Sussex SO560) (Redhill) – Shalford Jn	33	10	41	62	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
