London-North-Eastern	1016	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	1016	LN898	HUL3	Gascoigne Wood Jn	Selby West Jn	Gascoigne Wood Jn – Selby West Jn	6	27	0	36	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN898	HUL3	Selby West Jn	Selby South Jn	Selby West Jn – Selby South Jn	0	36	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN898	HUL2	Selby South Jn	Site of Former Barlby Jn	Selby South Jn – Site of Former Barlby Jn	31	12	30	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN898	HUL1	Site of Former Barlby Jn	Anlaby Road Jn	Site of Former Barlby Jn – Anlaby Road Jn	30	40	0	73	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN898	HUL1	Anlaby Road Jn	Hull	Anlaby Road Jn – Hull	0	73	0	00	R1	R1	R1	R1	R1 R2	R1 R2	R1	R1 R3	R1 R3	R1 Prohibited Hull platform 1 R2 Prohibited Hull platforms 2 and 6 with deflated suspension R3 Prohibited Hull Siding A with deflated suspension
London-North-Eastern	1016	LN900	HUE	Neville Hill West Jn	Hunslet East	Neville Hill West Jn – Hunslet East	0	00	0	55	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1016	LN902	CFM	Micklefield Jn	Church Fenton North Jn	Micklefield Jn – Church Fenton North Jn	15	62	10	31	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN904	HSC	Hambleton South Jn	Hambleton West Jn	Hambleton South Jn – Hambleton West Jn	174	10	175	33	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN906	HNC	Hambleton East Jn	Hambleton North Jn	Hambleton East Jn – Hambleton North Jn	3	34	4	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN908	SEC	Selby West Jn	Canal Jn	Selby West Jn – Canal Jn	0	00	0	32	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN910	TCW1	Temple Hirst Jn	Selby Canal Jn	Temple Hirst Jn – Selby Canal Jn	169	16	173	59	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN910	TCW1	Selby Canal Jn	Selby South Jn	Selby Canal Jn – Selby South Jn	173	59	174	11	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN912	TJG1	Thorne Jn	Thorne North Change of ELR	Thorne Jn – Thorne North Change of ELR	7	69	9	09	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN912	TJG2	Thorne North Change of ELR	Gilberdyke Jn	Thorne North Change of ELR – Gilberdyke Jn	14	06	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN914	HBS	West Parade Jn	West Parade North Jn	West Parade Jn – West Parade North Jn	0	25	0	72	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN914	HBS	West Parade North Jn	Walton Street Jn	West Parade North Jn – Walton Street Jn	0	72	1	29	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN914	HBS	Walton Street Jn	Seamer West Jn	Walton Street Jn – Seamer West Jn	1	29	50	43	R1 R3	R1 R3	R1 R3	R1 R3	R2 R3	R2 R3	R1 R3	R1 R3	R1 R3	R1 Prohibited Bridlington platform 7 when laden R2 Prohibited Bridlington platform 6 with deflated suspension Prohibited Bridlington platform 7 when laden and with deflated suspension R3 Prohibited Bridlington platform 8
London-North-Eastern	1016	LN916	HJS	Hessle Road	Springbank North Jn	Hessle Road – Springbank North Jn	0	00	1	38	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN916	HJS	Springbank North Jn	Network Rail Boundary	Springbank North Jn – Network Rail Boundary	1	38	5	62	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1016	LN918	SPW	Springbank North Jn	Walton Street Jn	Springbank North Jn – Walton Street Jn	1	54	1	29	N	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN920	AWP	Anlaby Road Jn	West Parade North Jn	Anlaby Road Jn – West Parade North Jn	0	00	0	24	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1016	LN922	TJC3	Whitehall West Jn	Skipton	Whitehall West Jn – Skipton	195	57	221	01	Y	Y	Y	Y	Y	Y	Y	Y	Y	
