London-North-Eastern	1023	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	170	172	180	185	195	220	221	222	Notes
London-North-Eastern	1023	LN160	FWR1	Rossington Colliery Jn	Flyover West Jn	Rossington Colliery Jn – Flyover West Jn	152	12	153	19	Y	N	N	N	N	N	N	N	
London-North-Eastern	1023	LN165	HPW	Route Boundary (EA1370) (Harringay Park Jn)	Harringay Jn	Route Boundary (EA1370) (Harringay Park Jn) – Harringay Jn	0	14	0	03	N	E	E	N	N	N	N	N	
London-North-Eastern	1023	LN170	WEB	Werrington Jn	Site of former Spalding South Jn	Werrington Jn – Site of former Spalding South Jn	79	34	92	58	Y	N	Y	N	N	N	N	N	
London-North-Eastern	1023	LN170	SPD1	Site of former Spalding South Jn	Sleaford South Jn	Site of former Spalding South Jn – Sleaford South Jn	44	07	62	14	Y	N	Y	N	N	N	N	N	
London-North-Eastern	1023	LN170	SPD2	Sleaford South Jn	Sleaford North Jn	Sleaford South Jn – Sleaford North Jn	62	14	63	48	Y	N	Y	N	N	N	N	N	
London-North-Eastern	1023	LN170	SPD2	Sleaford North Jn	Site of former Greetwell West Jn	Sleaford North Jn – Site of former Greetwell West Jn	63	48	81	25	Y	N	Y	N	N	N	N	Y	
London-North-Eastern	1023	LN170	SPD3	Site of former Greetwell West Jn	Trent East Jn	Site of former Greetwell West Jn – Trent East Jn	81	25	98	56	R1	N	R2	N	Y	N	N	R3	R1 15 mph through Gainsborough Lea Road Down line platform R2 Prohibited Lincoln platform 2 with deflated suspension R3 Prohibited between West Holmes Jn and Trent East Jn
London-North-Eastern	1023	LN170	MAC3	Trent East Jn	Trent West Jn	Trent East Jn – Trent West Jn	73	25	73	11	Y	N	Y	N	Y	N	N	N	
London-North-Eastern	1023	LN170	SPD4	Trent West Jn	Bessacarr Jn	Trent West Jn – Bessacarr Jn	98	68	115	72	Y	N	Y	Y	N	N	N	N	
London-North-Eastern	1023	LN170	SPD5	Bessacarr Jn	Doncaster, Flyover East Jn	Bessacarr Jn – Doncaster, Flyover East Jn	115	72	116	20	Y	N	Y	Y	N	N	N	N	
London-North-Eastern	1023	LN175	SSE	Sleaford South Jn	Sleaford East Jn	Sleaford South Jn – Sleaford East Jn	0	00	0	43	Y	N	Y	N	N	N	N	Y	
London-North-Eastern	1023	LN180	SNW	Sleaford West Jn	Sleaford North Jn	Sleaford West Jn – Sleaford North Jn	1	34	3	42	Y	N	Y	N	N	N	N	Y	
London-North-Eastern	1023	LN185	ABE1	Allington West Jn	Site of former Barkston East Jn	Allington West Jn – Site of former Barkston East Jn	0	00	4	08	Y	N	R1	N	N	N	N	Y	R1 Prohibited between Allington West Jn and Allington North Jn
London-North-Eastern	1023	LN185	GRS1	Barkston East Jn	Site of former Honington Jn	Barkston East Jn – Site of former Honington Jn	110	12	112	00	Y	N	Y	N	N	N	N	Y	
London-North-Eastern	1023	LN185	GRS2	Site of former Honington Jn	Sleaford West Jn	Site of former Honington Jn – Sleaford West Jn	112	00	120	29	Y	N	Y	N	N	N	N	Y	
London-North-Eastern	1023	LN185	GRS2	Sleaford West Jn	Sleaford East Jn	Sleaford West Jn – Sleaford East Jn	120	29	121	21	Y	N	Y	N	N	N	N	Y	
London-North-Eastern	1023	LN185	GRS2	Sleaford East Jn	Site of former Boston Sleaford Line Jn	Sleaford East Jn – Site of former Boston Sleaford Line Jn	121	21	137	06	Y	N	N	N	N	N	N	N	
London-North-Eastern	1023	LN185	GRS3	Site of former Boston Sleaford Line Jn	Boston	Site of former Boston Sleaford Line Jn – Boston	106	70	107	24	Y	N	N	N	N	N	N	N	
London-North-Eastern	1023	LN185	GRS3	Boston	Site of former Firsby East Jn	Boston – Site of former Firsby East Jn	107	24	122	22	Y	N	N	N	N	N	N	N	
London-North-Eastern	1023	LN185	GRS4	Site of former Firsby East Jn	Skegness	Site of former Firsby East Jn - Skegness	0	28	9	17	Y	N	N	N	N	N	N	N	
