London-North-Eastern	1029	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	o Ch	170	172	180	185	195	220	221	222	Notes
London-North-Eastern	1029	LN854	MVN2	Route Boundary (NW7001) (Hall Royd Jn)	Turners Lane Jn	Route Boundary (NW7001) (Hall Royd Jn) – Turners Lane Jn	22	62	48	33	R1	N	R2	Y	Y	Y	Y	R3	R1 Prohibited between Route Boundary (NW7001) (Hall Royd Jn) and Heaton Lodge East Jn R2 5mph Wakefield Kirkgate platform 3 R3 Prohibited between Route Boundary (NW7001) (Hall Royd Jn) and Horbury
London-North-Eastern	1029	LN854	MVN2	Turners Lane Jn	Site of former Goose Hill Jn	Turners Lane Jn – Site of former Goose Hill Jn	48	33	50	31	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1029	LN854	TJC3	Site of former Goose Hill Jn	Altofts Jn	Site of former Goose Hill Jn – Altofts Jn	184	56	186	00	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1029	LN854	NOC	Altofts Jn	Sherburn Jn	Altofts Jn – Sherburn Jn	23	57	13	20	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1029	LN854	NOC	Sherburn Jn	Colton Jn	Sherburn Jn – Colton Jn	13	20	5	41	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1029	LN854	ECM4	Colton Jn	Holgate Jn	Colton Jn – Holgate Jn	182	79	188	07	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1029	LN854	ECM4	Holgate Jn	York	Holgate Jn – York	188	07	188	40	R1 R2 R3	N	Y	Y	Y	Y	Y	Y	R1 Prohibited York platforms 1 and 6 when laden R2 5mph York platforms 1 and 6 R3 Prohibited York platforms 1 and 6 with deflated suspension
London-North-Eastern	1029	LN854	ECM5	York	Skelton Jn	York – Skelton Jn	0	00	1	50	N	N	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1029	LN858	MRB	Milner Royd Jn	Mill Lane Jn	Milner Royd Jn – Mill Lane Jn	29	20	40	01	N	N	Y	R1	Y	Y	Y	N	R1 5mph MRB/31 Shays overbridge 34m39ch Down line
London-North-Eastern	1029	LN859	GRD	Greetland Jn	Dryclough Jn	Greetland Jn – Dryclough Jn	1	11	0	00	N	N	Y	Y	Y	Y	Y	N	
London-North-Eastern	1029	LN860	MVL3	Route Boundary (NW7021) (Stalybridge Tunnel Jn)	Springwood Jn	Route Boundary (NW7021) (Stalybridge Tunnel Jn) – Springwood Jn	15	11	25	20	Y	N	N	Y	Y	Y	Y	N	
London-North-Eastern	1029	LN860	MVL3	Springwood Jn	Change of ELR (Heaton Lodge Jn)	Springwood Jn – Change of ELR (Heaton Lodge Jn)	25	20	29	00	R1	N	R2 R3	R3	Y	Y	Y	N	R1 Prohibited Huddersfield platforms 5 and 6 R2 Prohibited between Springwood and Huddersfield R3 Prohibited Huddersfield platform 5
London-North-Eastern	1029	LN860	MVL4	Change of ELR (Heaton Lodge Jn)	Heaton Lodge Jn (Up line)	Change of ELR (Heaton Lodge Jn) – Heaton Lodge Jn (Up line)	29	00	29	45	Y	N	Y	Y	Y	Y	Y	N	
London-North-Eastern	1029	LN860	MVL4	Change of ELR (Heaton Lodge Jn)	Heaton Lodge East Jn (Down Line)	Change of ELR (Heaton Lodge Jn) – Heaton Lodge East Jn (Down Line)	29	00	29	74	Y	N	Y	Y	Y	Y	Y	N	
London-North-Eastern	1029	LN860	MVN2	Heaton Lodge Jn	Heaton Lodge East Jn	Heaton Lodge Jn – Heaton Lodge East Jn	37	18	37	47	Y	N	Y	Y	Y	Y	Y	N	
London-North-Eastern	1029	LN860	MVN2	Heaton Lodge East Jn	Thornhill LNW Jn	Heaton Lodge East Jn – Thornhill LNW Jn	37	47	39	72	Y	N	Y	Y	Y	Y	Y	N	
London-North-Eastern	1029	LN860	MDL1	Thornhill LNW Jn	Copley Hill East Jn	Thornhill LNW Jn – Copley Hill East Jn	32	16	42	03	Y	N	Y	Y	Y	Y	Y	N	
