London-North-Eastern	1060	Line of route	ELR	LineofRoute/SectorDescription		LineofRoute/SectorDescription	 M	 Ch	 M	 Ch	313	314	315	317	318	319	321	322	Notes
London-North-Eastern	1060	LN902	CFM	MicklefieldJn	Church Fenton North Jn	MicklefieldJn–ChurchFentonNorthJn	15	62	10	31	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN904	HSC	HambletonSouthJn	Hambleton West Jn	HambletonSouthJn–HambletonWestJn	174	10	175	33	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN906	HNC	HambletonEastJn	Hambleton North Jn	HambletonEastJn–HambletonNorthJn	3	34	4	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN908	SEC	SelbyWestJn	Canal Jn	SelbyWestJn–CanalJn	0	00	0	32	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN910	TCW1	TempleHirstJn	Selby Canal Jn	TempleHirstJn–SelbyCanalJn	169	16	173	59	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN910	TCW1	SelbyCanalJn	Selby South Jn	SelbyCanalJn–SelbySouthJn	173	59	174	11	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN912	TJG1	ThorneJn	Thorne North Change of ELR	ThorneJn–ThorneNorthChangeofELR	7	69	9	09	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN912	TJG2	ThorneNorthChangeofELR	Gilberdyke Jn	ThorneNorthChangeofELR–GilberdykeJn	14	06	0	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN914	HBS	WestParadeJn	West Parade North Jn	WestParadeJn–WestParadeNorthJn	0	25	0	72	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN914	HBS	WestParadeNorthJn	Walton Street Jn	WestParadeNorthJn–WaltonStreetJn	0	72	1	29	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN914	HBS	WaltonStreetJn	Seamer West Jn	WaltonStreetJn–SeamerWestJn	1	29	50	43	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN916	HJS	HessleRoad	Springbank North Jn	HessleRoad–SpringbankNorthJn	0	00	1	38	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN916	HJS	SpringbankNorthJn	Network Rail Boundary	SpringbankNorthJn–NetworkRailBoundary	1	38	5	62	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN918	SPW	SpringbankNorthJn	Walton Street Jn	SpringbankNorthJn–WaltonStreetJn	1	54	1	29	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN920	AWP	AnlabyRoadJn	West Parade North Jn	AnlabyRoadJn–WestParadeNorthJn	0	00	0	24	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN922	TJC3	WhitehallWestJn	Skipton	WhitehallWestJn–Skipton	195	57	221	01	N	N	N	N	N	N	Y	Y	
London-North-Eastern	1060	LN922	TJC3	Skipton	Site of former Skipton North Jn Change of ELR	Skipton–SiteofformerSkiptonNorthJnChangeofELR	221	21	221	68	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN922	SKW1	SiteofformerSkiptonNorthJnChangeofELR	Route Boundary (NW9901) (Settle Jn)	SiteofformerSkiptonNorthJnChangeofELR–RouteBoundary(NW9901)(SettleJn)	221	68	230	00	N	N	N	N	N	N	N	N	
London-North-Eastern	1060	LN924	ILK1	ApperleyJn	Burley in Wharfedale	ApperleyJn–BurleyinWharfedale	202	03	208	02	N	N	N	N	N	N	Y	Y	
London-North-Eastern	1060	LN924	ILK2	BurleyinWharfedale	Ilkley	BurleyinWharfedale–Ilkley	208	02	211	20	N	N	N	N	N	N	Y	Y	
London-North-Eastern	1060	LN926	GUE2	DockfieldJn	Esholt Jn	DockfieldJn–EsholtJn	3	41	0	00	N	N	N	N	N	N	Y	Y	
