London-North-Eastern	1118	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	Notes
London-North-Eastern	1118	LN3520	SSJ1	Sheet Stores Jn	Change of ELR (Site of Former Chellaston East Jn)	Sheet Stores Jn – Change of ELR (Site of Former Chellaston East Jn)	119	62	127	20	Y	Y	Y	EH R1	N	Y	N	R1 Prohibited with footsteps fitted
London-North-Eastern	1118	LN3520	MJS1	Change of ELR (Site of Former Chellaston East Jn)	Change of ELR (Site of Former Chellaston West Jn)	Change of ELR (Site of Former Chellaston East Jn) – Change of ELR (Site of Former Chellaston West Jn)	127	20	128	00	Y	Y	Y	EH R1	N	Y	N	R1 Prohibited with footsteps fitted
London-North-Eastern	1118	LN3520	SSJ2	Change of ELR (Site of Former Chellaston West Jn)	Stenson Jn	Change of ELR (Site of Former Chellaston West Jn) – Stenson Jn	128	00	132	12	Y	Y	Y	EH R1	N	Y	N	R1 Prohibited with footsteps fitted
London-North-Eastern	1118	LN3525	KSL	Knighton Jn	Leicester Jn	Knighton Jn – Leicester Jn	97	45	127	00	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3535	BCJ	Birmingham Curve Jn	Branston Jn	Birmingham Curve Jn – Branston Jn	126	40	127	19	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3601	GSM1	Kettering North Jn	Manton Jn	Kettering North Jn – Manton Jn	74	00	90	25	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3605	BSC	Corby BSC Works	Corby North	Corby BSC Works – Corby North	2	05	0	00	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3610	BSC	Corby Automotive Terminal	Corby North	Corby Automotive Terminal – Corby North	1	10	0	00	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3615	PMJ	Route Boundary (LN147)	Uffington SB	Route Boundary (LN147) – Uffington SB	13	60	12	75	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3615	PMJ	Uffington SB	Manton Jn	Uffington SB – Manton Jn	12	75	0	00	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3615	GSM2	Manton Jn	Melton Jn	Manton Jn – Melton Jn	90	25	105	70	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3615	GSM3	Melton Jn	Syston South Jn	Melton Jn – Syston South Jn	113	36	103	77	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3620	GSM4	Melton Jn GF	Asfordby	Melton Jn GF – Asfordby	105	70	107	20	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3625	TSN1	Nottingham East Jn	Change of ELR (Nottingham East Jn)	Nottingham East Jn – Change of ELR (Nottingham East Jn)	123	27	123	23	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3625	NOB1	Change of ELR (Nottingham East Jn)	Route Boundary (LN206) (Coulson)	Change of ELR (Nottingham East Jn) – Route Boundary (LN206) (Coulson)	0	00	16	02	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3635	NOG1	Route Boundary (LN195) (Nottingham Branch Jn)	Rectory Jn SB	Route Boundary (LN195) (Nottingham Branch Jn) – Rectory Jn SB	111	60	123	76	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3635	NOG1	Rectory Jn SB	Change of ELR (Netherfield)	Rectory Jn SB – Change of ELR (Netherfield)	123	76	125	25	Y	Y	Y	N	N	N	N	
London-North-Eastern	1118	LN3635	NOG2	Change of ELR (Netherfield)	Netherfield Jn	Change of ELR (Netherfield) – Netherfield Jn	2	54	2	35	Y	Y	Y	N	N	N	N	
