Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1123	LN880	YMS	York (platforms 4 & 5) – Scarborough (platforms 1 to 5)	0	00	42	06	H R1	N	N	N	N	N	N	N	N	N	R1 Prohibited Scarborough platform 5
London-North-Eastern	1123	LN880	YMS	York (platform 2 and maintenance sidings) – Connection to Up line	0	0	0	15	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN882	WAG1	Wakefield Kirkgate West Jn – Calder Bridge Jn	47	43	48	28	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN882	WAG1	Calder Bridge Jn – Crofton West Jn	48	28	49	40	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN882	WAG1	Crofton West Jn – Knottingley West Jn	49	40	58	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN882	WAG1	Knottingley West Jn – Engine Shed Jn	58	20	73	52	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN882	WAG2	Engine Shed Jn – Goole Potters Grange Jn	0	64	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN884	OAJ	Oakenshaw South Jn – Oakenshaw Jn.	49	41	48	76	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN886	TJC3	Monk Bretton – Oakenshaw South Jn	176	22	181	75	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN886	OSC	Oakenshaw South Jn – Crofton East Jn	181	75	183	04	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN888	CJS	Stainforth Jn – Thorpe Marsh Jn	166	70	163	76	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN888	HTM	Thorpe Marsh Jn – Haywood Jn	69	56	67	66	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN888	KWS	Haywood Jn – Knottingley West Jn	67	66	58	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN888	FKW	Knottingley West Jn – Ferrybridge North Jn	2	71	2	27	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN889	KWS	Shaftholme Jn – Haywood Jn	68	75	67	66	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN892	PEF	Pontefract East Jn – Ferrybridge South Jn	3	06	2	38	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN894	KES	Knottingley South Jn – Knottingley East Jn	0	00	0	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN896	DRA1	Drax Branch Jn – Drax Power Station (NR Boundary)	0	00	4	16	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN898	HUL4	Neville Hill East Jn – Micklefield Jn	18	25	10	63	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN898	HUL4	Micklefield Jn – Micklefield Change of ELR	10	63	10	60	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN898	HUL3	Micklefield Change of ELR – Gascoigne Wood Jn	10	60	6	27	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1123	LN898	HUL3	Gascoigne Wood Jn – Selby West Jn	6	27	0	36	H	N	N	N	N	N	N	N	N	N	
