Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	379	380	387	397	508	599	700	Notes
London-North-Eastern	1128	LN170	SPD2	Sleaford North Jn – Site of former Greetwell West Jn	63	48	81	25	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN170	SPD3	Site of former Greetwell West Jn – Trent East Jn	81	25	98	56	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN170	MAC3	Trent East Jn – Trent West Jn	73	25	73	11	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN170	SPD4	Trent West Jn – Bessacarr Jn	98	68	115	72	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN170	SPD5	Bessacarr Jn – Doncaster, Flyover East Jn	115	72	116	20	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN175	SSE	Sleaford South Jn – Sleaford East Jn	0	00	0	43	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN180	SNW	Sleaford West Jn – Sleaford North Jn	1	34	3	42	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	ABE1	Allington West Jn – Site of former Barkston East Jn	0	00	4	08	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	GRS1	Barkston East Jn – Site of former Honington Jn	110	12	112	00	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	GRS2	Site of former Honington Jn – Sleaford West Jn	112	00	120	29	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	GRS2	Sleaford West Jn – Sleaford East Jn	120	29	121	21	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	GRS2	Sleaford East Jn – Site of former Boston Sleaford Line Jn	121	21	137	06	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	GRS3	Site of former Boston Sleaford Line Jn – Boston	106	70	107	24	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	GRS3	Boston – Site of former Firsby East Jn	107	24	122	22	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN185	GRS4	Site of former Firsby East Jn - Skegness	0	28	9	17	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN190	ACD	Allington East Jn – Allington North Jn (Allington Chord)	0	00	0	25	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN195	NOG1	Nottingham Branch Jn – Route Boundary (LN3635) (Rectory Jn SB)	106	08	111	60	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN200	NOB3	Wrawby Jn – Pelham Street Jn	12	55	41	26	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN206	NOB1	Route Boundary (LN3625) (Nottingham East Jn) – Coulson Change of ELR	16	02	32	00	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN206	NOB2	Coulson Change of ELR – Boultham Jn	32	00	32	40	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN206	NOB2	Boultham Jn – West Holmes Jn	32	40	32	70	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN210	NSE	Newark Crossing South Jn – Newark Crossing East Jn	0	00	0	21	N	N	N	N	N	N	N	
London-North-Eastern	1128	LN215	BHP	Boultham Jn – Pyewipe Jn	0	00	0	65	N	N	N	N	N	N	N	
