Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	317	319	321	322	325	377	380	387	390	700	Notes
London-North-Eastern	1143	LN3252	MJT1	Mansfield Jn – Radford Jn	124	22	125	55	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3252	MJT2	Radford Jn – Trowell South Jn	125	55	130	51	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3255	RAC	Radford Jn – Newstead	125	55	134	20	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3255	RAC	Newstead – Kirkby Lane End Jn	134	20	136	66	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3261	THL	Trent South Jn – Toton South Jn (High Level Lines)	119	17	121	36	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3264	AML	Attenborough Jn – Meadow Lane Jn (Attenborough Curve)	0	62	0	00	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3273	TCC	Codnor Park Jn – Ironville Jn	132	76	133	18	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3273	PBS1	Ironville Jn – Kirkby Summit Crossover	133	18	138	79	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3273	PBS2	Kirkby Summit Crossover – Mansfield ELR Change	137	11	140	40	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3273	PBS3	Mansfield Change of ELR – Route Boundary (LN768) (Shireoaks East Jn)	140	40	143	00	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3340	BJW3	Route Boundary (MD340) (Lichfield Trent Valley) – Wichnor Jn	19	00	23	33	N	N	N	N	H	N	EH	N	EH	N	
London-North-Eastern	1143	LN3501	DBP1	London Road Jn – Route Boundary (MD501) (Kingsbury Jn)	0	00	23	30	N	N	N	N	H	N	EH R1	N	EH R2 R3 R4 R5	N	R1 Prohibited between Wichnor Jn and Route Boundary (MD501) (Kingsbury Jn) R2 15mph Burton on Trent Up Main platform R3 Prohibited Derby platform 4 R4 5mph Derby platform 3 R5 Prohibited Down and Up Goods lines between Clay Mills Jn and Leicester Jn
London-North-Eastern	1143	LN3505	NSS	North Stafford Jn – Route Boundary (NW5012) (Stoke Jn)	30	10	1	40	N	N	N	N	H	N	N	N	N	N	
London-North-Eastern	1143	LN3515	MJS1	Melbourne Jn – Sinfin	131	15	130	37	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1143	LN3520	SSJ1	Sheet Stores Jn – Change of ELR (Site of Former Chellaston East Jn)	119	62	127	20	N	N	N	N	H	N	N	N	EH	N	
London-North-Eastern	1143	LN3520	MJS1	Change of ELR (Site of Former Chellaston East Jn) – Change of ELR (Site of Former Chellaston West Jn)	127	20	128	00	N	N	N	N	H	N	N	N	EH	N	
London-North-Eastern	1143	LN3520	SSJ2	Change of ELR (Site of Former Chellaston West Jn) – Stenson Jn	128	00	132	12	N	N	N	N	H	N	N	N	EH R1	N	R1 15mph over bridge 10 Swarkestone Road on the Down Line 128m 14ch
