Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5 A	Notes
London-North-Eastern	1152	LN678	DAE1	Site of former Parkgate Jn – Shildon SB	0	00	8	29	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN678	DAE2	Shildon SB – Bishop Auckland	8	29	11	23	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN682	NEC1	King Edward Bridge South Jn – Norwood Jn	0	48	1	71	Y	Y	Y	N	N	N	Y	Y	Y	
London-North-Eastern	1152	LN682	NEC1	Norwood Jn – Site of former Blaydon East Jn	1	71	5	28	Y	Y	Y	N	N	N	Y	Y	Y	
London-North-Eastern	1152	LN682	NEC2	Site of former Blaydon East Jn – Route Boundary (NW9909) (Petteril Bridge Jn)	3	78	58	00	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1152	LN684	NLF	Low Fell Jn – Limit of Electrification	0	00	1	26	Y	Y	Y	N	N	N	Y	Y	Y	
London-North-Eastern	1152	LN684	NLF	Limit of Electrification – Norwood Jn	1	26	1	42	Y	Y	Y	N	N	N	Y	Y	Y	
London-North-Eastern	1152	LN694	BNE	Benton North Jn – Site of former Earsdon Jn	0	00	2	53	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1152	LN694	EJM	Site of former Earsdon Jn – Morpeth North Jn	7	08	20	47	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1152	LN696	HJM	Hepscott Jn – Morpeth Jn	19	44	20	47	Y	Y	Y	N	N	N	Y	Y	N	
London-North-Eastern	1152	LN700	BWO2	Butterwell Jn – Signal B1	0	00	0	48	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1152	LN702	BWC	Bedlington North – Network Rail Boundary (Lynemouth Colliery)	0	00	4	14	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1152	LN704	ISC	Newsham North Jn – Network Rail Boundary (Blyth Bates Terminal)	0	00	0	36	N	N	N	N	N	N	N	N	N	Line out of use NME/2010/LNE/006 and NME/2010/LNE009
London-North-Eastern	1152	LN706	WSB	West Sleekburn Jn – North Blyth	0	00	3	22	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1152	LN708	MWJ	Winning Jn – Marchey's House Jn	0	31	0	00	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	Cleethorpes – Grimsby Docks	112	40	110	11	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	Grimsby Docks – Marsh West Jn	110	11	107	69	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	Marsh West Jn – Wrawby Jn	107	69	94	12	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	Wrawby Jn – West Burton East Jn	94	12	72	18	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	West Burton East Jn – Thrumpton West Jn (Up)	72	18	63	28	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	Thrumpton West Jn (Up) – Manton Wood	63	28	58	54	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	Manton Wood – Brancliffe East Jn	58	54	53	57	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1152	LN736	MAC3	Brancliffe East Jn – Woodburn Jn	53	57	42	29	Y	Y	Y	N	N	N	N	N	N	
