London-North-Eastern	1178	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Eastern	1178	LN804	TJC1	Nunnery Main Line Jn	Site of Former Grimesthorpe Jn	Nunnery Main Line Jn – Site of Former Grimesthorpe Jn	158	77	160	47	8	N	N	R1	N	N	N	R1 Prohibited Nunnery Main line Jn - Mill Race Jn on the Down
London-North-Eastern	1178	LN804	TJC2	Site of Former Grimesthorpe Jn	Site of Masborough South Jn	Site of Former Grimesthorpe Jn – Site of Masborough South Jn	160	47	163	74	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN804	TJC3	Site of Former Masborough South Jn	Swinton Jn South	Site of Former Masborough South Jn – Swinton Jn South	161	77	166	56	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN804	SMJ1	Swinton Jn South	Swinton Jn North	Swinton Jn South – Swinton Jn North	166	56	167	03	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN804	SMJ1	Swinton Jn North	Site of Former Wath Curve Jn	Swinton Jn North – Site of Former Wath Curve Jn	167	03	168	64	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN804	SMJ2	Site of Former Wath Curve Jn	Ferrybridge South Jn	Site of Former Wath Curve Jn – Ferrybridge South Jn	17	15	2	38	9	N	N	Y	N	N	N	
London-North-Eastern	1178	LN804	SMJ2	Ferrybridge South Jn	Site of Former Burton Salmon Jn	Ferrybridge South Jn – Site of Former Burton Salmon Jn	2	38	0	00	9	H	H	Y	H	H	N	
London-North-Eastern	1178	LN804	SMJ3	Site of Former Burton Salmon Jn	Milford Jn	Site of Former Burton Salmon Jn – Milford Jn	16	69	15	07	9	H	H	Y	H	H	N	
London-North-Eastern	1178	LN804	MGW	Milford Jn	Gascoigne Wood SB	Milford Jn – Gascoigne Wood SB	7	65	6	27	10	N	N	Y	N	N	N	
London-North-Eastern	1178	LN806	CHR	Route Boundary (LN3201) (Tapton Jn)	Masborough Jn	Route Boundary (LN3201) (Tapton Jn) – Masborough Jn	146	64	162	24	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN807	MAS	Dore South Jn	Dore West Jn	Dore South Jn – Dore West Jn	153	73	154	16	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN808	DWS	Dore Station Jn	Dore West Jn	Dore Station Jn – Dore West Jn	0	60	0	00	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN808	MAS	Dore West Jn	Route Boundary (NW9001) (Chinley North Jn)	Dore West Jn – Route Boundary (NW9001) (Chinley North Jn)	154	16	154	20	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN809	BTJ	Shepcote Lane West Jn	Tinsley Yard East End	Shepcote Lane West Jn – Tinsley Yard East End	161	24	160	52	10	N	N	Y	N	N	N	
London-North-Eastern	1178	LN810	SEL	Shepcote Lane West Jn	Tinsley South Jn	Shepcote Lane West Jn – Tinsley South Jn	161	24	161	63	10	N	N	Y	N	N	N	
London-North-Eastern	1178	LN812	BLJ	Shepcote Lane East Jn	Broughton Lane Jn	Shepcote Lane East Jn – Broughton Lane Jn	161	20	161	67	10	N	N	Y	N	N	N	
London-North-Eastern	1178	LN816	BEW	Beighton Jn	Woodhouse Jn	Beighton Jn – Woodhouse Jn	48	06	46	56	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN818	HCD	Holmes Jn	Rotherham Central Jn	Holmes Jn – Rotherham Central Jn	0	00	0	62	10	N	N	Y	N	N	N	
London-North-Eastern	1178	LN824	SKM	Moorthorpe Jn	South Kirkby Jn	Moorthorpe Jn – South Kirkby Jn	0	57	0	05	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN826	PED5	South Yorkshire Jn	Mexborough Jn	South Yorkshire Jn – Mexborough Jn	22	57	15	64	8	N	N	Y	N	N	N	
London-North-Eastern	1178	LN826	SJM2	Mexborough Jn	Site of Former Mexborough North Jn	Mexborough Jn – Site of Former Mexborough North Jn	15	64	14	78	8	N	N	Y	N	N	N	
