London-North-Eastern	1209	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
London-North-Eastern	1209					W6	W7	W8	W9	W9Plus	W10	W10A	W12	
London-North-Eastern	1209	LN860	Thornhill LNW Jn – Copley Hill East Jn	Thornhill LNW Jn	Copley Hill East Jn	Y	S1	S1	N	N	N	N	N	S1 The following combinations are permitted: 2590 h x 2438 w box on FSA/FTA KFA wagons Down Line 2590 h x 2438 w box on FEA FSA/FTA KFA wagons 2590 h x 2500 w box on FSA/FTA wagons Up Line, 10 mph at Br 23 Wood Lane [34m 22ch] 2590 h x 2438 w box on FEA wagons 2590 h x 2500 w box on KFA wagons 2615 h x 2500 (S16) FT on KFA wagons Down line, 10 mph at Morley Tunnel [36m 25ch to 38m 19ch] STNC NC/G1/2009/ICP-G/LNE1 applies, valid to 31/12/12
London-North-Eastern	1209	LN861	Bradley Jn – Bradley Wood Jn	Bradley Jn	Bradley Wood Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1209	LN862	Barnsley Station Jn – Huddersfield	Barnsley Station Jn	Huddersfield	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1209	LN864	Dewsbury Railway Street Branch	Dewsbury Railway Street Branch		Y	N	N	N	N	N	N	N	
London-North-Eastern	1209	LN868	Wincobank Jn – Horbury Jn	Wincobank Jn	Horbury Jn	S1 *	N	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6A profile and above 3650mm in height are prohibited in both directions between Elsecar & Wombwell stations. The Rail Head Treatment Train FEA wagon is permitted without restriction. The MPV with Clayton water tank module fitted is prohibited in both directions between Elsecar & Wombwell stations. The MPV without the Clayton water tank module is restricted to 5mph through Bridge No. 57 at 170m 40ch on the Up line, and 5mph through Bridge No. 51 at 169m 50ch on the Down line.
London-North-Eastern	1209	LN870	Wakefield Turners Lane – Calder Bridge Jn	Wakefield Turners Lane	Calder Bridge Jn	Y	Y	Y	Y	N	N	N	N	
London-North-Eastern	1209	LN872	Altofts Jn – Hunslet South [ 193m 36ch ] Jn	Altofts Jn	Hunslet South [ 193m 36ch ] Jn	Y	Y	Y	Y	N	N	N	N	
London-North-Eastern	1209	LN872	Hunslet South [ 193m 36ch ] Jn – Leeds West Jn	Hunslet South [ 193m 36ch ] Jn	Leeds West Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1209	LN874	Methley Jn – Whitwood Jn	Methley Jn	Whitwood Jn	Y	Y	Y	N	N	N	N	N	
