Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Eastern	1227	LN898	HUL1	Anlaby Road Jn – Hull	0	73	0	00	8	N	N	R1	N	N	N	R1 Prohibited Hull Paragon platform 3
London-North-Eastern	1227	LN900	HUE	Neville Hill West Jn – Hunslet East	0	00	0	55	10	N	N	Y	N	N	N	
London-North-Eastern	1227	LN902	CFM	Micklefield Jn – Church Fenton North Jn	15	62	10	31	9	H	H	Y	H	H	N	
London-North-Eastern	1227	LN904	HSC	Hambleton South Jn – Hambleton West Jn	174	10	175	33	10	H	H	Y	H	H	N	
London-North-Eastern	1227	LN906	HNC	Hambleton East Jn – Hambleton North Jn	3	34	4	00	10	H	H	Y	H	H	N	
London-North-Eastern	1227	LN908	SEC	Selby West Jn – Canal Jn	0	00	0	32	9	H	H	Y	H	H	N	
London-North-Eastern	1227	LN910	TCW1	Temple Hirst Jn – Selby Canal Jn	169	16	173	59	9	H	H	Y	H	H	N	
London-North-Eastern	1227	LN910	TCW1	Selby Canal Jn – Selby South Jn	173	59	174	11	9	H	H	Y	H	H	N	
London-North-Eastern	1227	LN912	TJG1	Thorne Jn – Thorne North Change of ELR	7	69	9	09	8	N	N	Y	N	N	N	
London-North-Eastern	1227	LN912	TJG2	Thorne North Change of ELR – Gilberdyke Jn	14	06	0	00	8	N	N	Y	N	N	N	
London-North-Eastern	1227	LN914	HBS	West Parade Jn – West Parade North Jn	0	25	0	72	8	N	N	R1	N	N	N	R1 Prohibited on the Down
London-North-Eastern	1227	LN914	HBS	West Parade North Jn – Walton Street Jn	0	72	1	29	7	N	N	Y	N	N	N	
London-North-Eastern	1227	LN914	HBS	Walton Street Jn – Seamer West Jn	1	29	50	43	6	N	N	N	N	N	N	
London-North-Eastern	1227	LN916	HJS	Hessle Road – Springbank North Jn	0	00	1	38	8	N	N	Y	N	N	N	
London-North-Eastern	1227	LN916	HJS	Springbank North Jn – Network Rail Boundary	1	38	5	62	7	N	N	Y	N	N	N	
London-North-Eastern	1227	LN918	SPW	Springbank North Jn – Walton Street Jn	1	54	1	29	8	N	N	Y	N	N	N	
London-North-Eastern	1227	LN920	AWP	Anlaby Road Jn – West Parade North Jn	0	00	0	24	8	N	N	Y	N	N	N	
London-North-Eastern	1227	LN922	TJC3	Whitehall West Jn – Skipton	195	57	221	01	8	Y	Y	Y	Y	R1 R2	N	R1 30mph Shipley Platform 2 R2 40mph Bingley Down Platform
London-North-Eastern	1227	LN922	TJC3	Skipton – Site of Former Skipton North Jn Change of ELR	221	21	221	68	8	N	N	Y	N	N	N	
London-North-Eastern	1227	LN922	SKW1	Site of Former Skipton North Jn Change of ELR – Route Boundary (NW9901) (Settle Jn)	221	68	230	00	8	N	N	Y	N	N	N	
