London-North-Eastern	1239	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
London-North-Eastern	1239					W6	W7	W8	W9	W9Plus	W10	W10A	W12
London-North-Eastern	1239	LN618	Holgate Jn – Skelton Jn (avoiding York station)	Holgate Jn	Skelton Jn (avoiding York station)	Y *	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1239	LN620	King Edward Bridge East Jn – King Edward Bridge North Jn	King Edward Bridge East Jn	King Edward Bridge North Jn	Y	Y	Y	Y	Y	Y	Y	Y
London-North-Eastern	1239	LN622	Forth Branch	Forth Branch		Y	N	N	N	N	N	N	N
London-North-Eastern	1239	LN624	Northallerton, Castle Hills Jn – Castle Hills West GF	Northallerton, Castle Hills Jn	Castle Hills West GF	Y	N	N	N	N	N	N	N
London-North-Eastern	1239	LN626	Northallerton High Jn – Northallerton East Jn	Northallerton High Jn	Northallerton East Jn	Y	Y	Y	N	N	N	N	N
London-North-Eastern	1239	LN627	Northallerton, Longlands Jn – Billingham Jn	Northallerton, Longlands Jn	Billingham Jn	Y *	Y	Y	R1	R1	R1	R1	R1	R1 Between Eaglescliffe South Jn and Stockton Cut only
London-North-Eastern	1239	LN627	Billingham Jn – Ryhope Grange	Billingham Jn	Ryhope Grange	Y *	Y	Y	N	N	N	N	N
London-North-Eastern	1239	LN627	Ryhope Grange – Boldon East Jn	Ryhope Grange	Boldon East Jn	Y *	N	N	N	N	N	N	N
London-North-Eastern	1239	LN627	Boldon East Jn – Boldon West Jn	Boldon East Jn	Boldon West Jn	Y *	Y	Y	N	N	N	N	N
London-North-Eastern	1239	LN627	Boldon West Jn – Park Lane Jn	Boldon West Jn	Park Lane Jn	Y *	Y	Y	Y	N	Y	N	N
London-North-Eastern	1239	LN627	Park Lane Jn – Newcastle East Jn	Park Lane Jn	Newcastle East Jn	Y *	Y	Y	N	N	N	N	N
London-North-Eastern	1239	LN627	Dawdon Junction – Seaham Harbour (NR Limit) [1m 36ch]	Dawdon Junction	Seaham Harbour (NR Limit) [1m 36ch]	Y *	N	N	N	N	N	N	N
London-North-Eastern	1239	LN628	South Hylton – Sunderland South Jn	South Hylton	Sunderland South Jn	Y *	-	-	-	N	-	N	-	Nexus Metro Trains
London-North-Eastern	1239	LN629	Pelaw Metro Jn – Pelaw South Jn	Pelaw Metro Jn	Pelaw South Jn	Y *	-	-	-	N	-	N	-	Nexus Metro Trains
London-North-Eastern	1239	LN630	Pelaw North Jn – Pelaw Metro Jn	Pelaw North Jn	Pelaw Metro Jn	Y *	-	-	-	N	-	N	-	Nexus Metro Trains
London-North-Eastern	1239	LN631	Darlington South Jn – Eaglescliffe South Jn	Darlington South Jn	Eaglescliffe South Jn	Y *	Y	Y	Y	Y	Y	Y	Y
