Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Eastern	1280	LN756	NOP1	Scunthorpe Trent Jn – Site of Former Dawes Lane Jn	0	00	0	28	8	Y	
London-North-Eastern	1280	LN756	NOP2	Site of Former Dawes Lane Jn – NR Boundary (Roxby)	0	25	3	60	8	Y	
London-North-Eastern	1280	LN758	BKS	Brancliffe East Jn – St Catherines Jn	0	00	15	17	8	Y	
London-North-Eastern	1280	LN758	BKS	St Catherines Jn – Low Ellers Curve Jn	15	17	15	55	8	Y	
London-North-Eastern	1280	LN758	BKS	Low Ellers Curve Jn – Kirk Sandall Jn	15	55	20	49	8	Y	
London-North-Eastern	1280	LN760	HAC	Firbeck Jn – Harworth Colliery	11	20	14	21	7	Y	
London-North-Eastern	1280	LN762	YDS	St. Catherines Jn – Decoy South Jn (St. Catherines Curve)	15	17	15	71	8	Y	
London-North-Eastern	1280	LN764	UDS	Low Ellers Curve Jn – Potteric Carr Jn	15	55	16	56	8	Y	
London-North-Eastern	1280	LN766	HJB	Bentley Jn – Hexthorpe Jn (Doncaster Avoiding Line)	3	24	0	00	8	Y	
London-North-Eastern	1280	LN768	PSE	Route Boundary (LN3273) (Mansfield) – Shireoaks East Jn	143	00	154	30	8	R1 R2	R1 Prohibited between Littlewood (143m 40ch) and Shirebrook on the Down Mansfield R2 Prohibited between Langwith Whaley-Thorns and Creswell on the Down Mansfield
London-North-Eastern	1280	LN772	SWP	Warsop Jn – Shirebrook Jn	0	00	0	45	9	Y	
London-North-Eastern	1280	LN774	BAC2	Barrow Hill North Jn – Seymour Jn SB	149	53	152	21	7	Y	
London-North-Eastern	1280	LN774	BAC3	Seymour Jn SB – Oxcroft Disposal Point	155	06	0	78	7	Y	
London-North-Eastern	1280	LN776	HLF1	Hall Lane Jn – Change of ELR	0	44	0	00	7	Y	
London-North-Eastern	1280	LN776	HLF2	Change of ELR – Foxlow Jn	150	47	150	64	7	Y	
London-North-Eastern	1280	LN778	BOC1	Seymour Jn – Bolsover	7	51	5	21	7	Y	
London-North-Eastern	1280	LN782	SHW	Woodend Jn – Shireoaks West Jn	153	71	154	36	8	Y	
London-North-Eastern	1280	LN784	HIM	High Marnham – Thoresby Colliery Jn	27	48	17	16	8	Y	
London-North-Eastern	1280	LN784	HIM	Thoresby Colliery Jn – Warsop Jn	17	16	10	59	8	Y	
London-North-Eastern	1280	LN784	HIM	Warsop Jn – Shirebrook South Jn	10	59	10	19	8	Y	
London-North-Eastern	1280	LN784	HIM	Shirebrook South Jn – Shirebrook East Jn	10	19	9	72	10	Y	
London-North-Eastern	1280	LN786	BEC	Boughton Jn – Network Rail Boundary (Bevercotes Colliery)	0	00	4	22	-	Y	
