Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	R1 Notesoooooooooooooooooooo
London-North-Western-North	0893	NW1001	CGJ2	Change of ELR (Preston Brook Tunnel) – Acton Grange Jn	176	00	180	24	N	N	N	Y	Y	N	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ2	Acton Grange Jn – Warrington South Jn	180	24	181	76	N	N	N	Y	Y	N	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ3	Warrington South Jn – Winwick Jn	181	76	185	49	N	N	N	Y	Y	N	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ4	Winwick Jn – Golborne Jn	185	49	187	76	N	N	N	Y	Y	N	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ5	Golborne Jn – Wigan Station Jn	0	53	6	33	N	N	N	Y	Y	Y	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ5	Wigan Station Jn – Farington Curve Jn	6	33	20	08	N	N	N	Y	Y	Y	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ5	Farington Curve Jn – Preston Ribble Jn	20	08	21	13	N	N	N	Y	Y	Y	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ5	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	N	N	N	Y	R1	Y	Y	N	Y	T	N	R2 Prohibited Preston platforms 3C and 4C
London-North-Western-North	0893	NW1001	CGJ6	Preston (Change of ELR) – Preston North Jn	0	00	0	21	N	N	N	Y	Y	Y	Y	N	Y	T	N	
London-North-Western-North	0893	NW1001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	N	N	N	Y	N	Y	Y	N	Y	T	N	
London-North-Western-North	0893	NW1002	RBS3	Route Boundary (MD301) (Penkridge Station) – Stafford Trent Valley Jn No.1	23	30	28	50	E R1	Y	Y	Y	N	N	EH	Y	Y	T	N	R1 Prohibited between Penkridge and Stafford Trent Valley Jn No.1
London-North-Western-North	0893	NW1003	HCM2	Buffer Stop (Silverdale Colliery End) – Madeley Chord Jn	3	27	7	36	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0893	NW1003	HCM3	Madeley Chord Jn – Madeley Jn	0	25	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0893	NW1003	HCM2	Madeley Chord Jn – End of Line	7	36	8	14	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0893	NW1004	RRN2	Route Boundary (MD345) (Cannock Change of ELR) – Rugeley North Jn	14	00	14	69	N	N	Y	N	N	N	N	Y	Y	Y	N	
London-North-Western-North	0893	NW1005	KCS1	Kidsgrove Jn – Crewe South Jn	0	00	8	27	N	N	Y	Y	N	N	Y	Y	Y	Y	Y	
London-North-Western-North	0893	NW1007	SYC	Route Boundary (GW735) (Crewe Jn) – Limit of Electrification	2	60	1	41	N	Y	Y	Y	N	N	N	N	N	Y	N	
London-North-Western-North	0893	NW1007	SYC	Limit of Electrification – Crewe South Jn	1	41	0	00	N	Y	Y	Y	N	N	N	N	N	Y	N	
London-North-Western-North	0893	NW1009	BHI	Basford Hall Jn – Site of former Sydney Bridge Jn (Independent lines)	156	16	158	76	N	N	N	Y	N	N	N	N	Y	Y	N	
