Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
London-North-Western-North	0953	NW7027	PPP1	Baguley Fold Jn – Change of Mileage	2	39	2	13	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW7027	PPP2	Change of Mileage – Philips Park South Jn	0	00	0	19	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8001	HXS1	Hunts Cross West Jn – Liverpool Central	6	11	0	02	8	R1	R2	R2	R2	R2	R2	R2	R2	R1 Prohibited between Start / End of underground section and Liverpool Central unless DC current has been isolated R2 Prohibited between Start / End of underground section and Liverpool Central
London-North-Western-North	0953	NW8001	HXS2	Liverpool Central – Paradise Jn	37	13	36	71	8	R1	N	N	N	N	N	N	N	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0953	NW8001	HXS2	Paradise Jn – Sandhills Jn	36	71	34	75	8	R1	R2	R2	R2	R2	R2	R2	R2	R1 Prohibited between Paradise Jn and Leeds Street Portal unless DC current has been isolated R2 Prohibited between Paradise Jn and Leeds Street Portal
London-North-Western-North	0953	NW8001	HXS3	Sandhills Jn – Bootle Jn	1	41	2	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8001	HXS3	Bootle Jn – Southport	2	39	18	35	8	R1	R1	R1	R1	R1	R1	R1	R1	R1 OPPOS applies over Bridge 11 (2m 71ch to 2m 73ch)
London-North-Western-North	0953	NW8003	SIL	Paradise Jn – James Street (Stock Interchange/Holding line)	0	32	0	53	8	R1	R1	N	N	N	N	N	N	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0953	NW8005	SJO1	Sandhills Jn – Walton Jn	34	75	33	16	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8005	SJO2	Walton Jn – Ormskirk	3	20	12	13	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8007	HXS/ NMM	Bootle Jn – Change of ELR (Site of Former North Mersey Jn)	2	34	3	52	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8007	NMB	Change of ELR (Site of Former North Mersey Jn) – Change of ELR (Site of Former Sefton Jn)	34	40	32	42	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8007	AFL	Change of ELR (Site of Former Sefton Jn) – Aintree Station Jn	0	00	0	40	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8009	WJK	Walton Jn – Kirkby	33	16	29	41	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0953	NW8011	MIR1	Mann Island Jn – Mann Island Jn via Loop	0	00	2	12	8	R1	R1	N	N	N	N	N	N	R1 Prohibited unless DC current has been isolated
London-North-Western-North	0953	NW8011	MIR2	Mann Island Jn – Hamilton Square Jn	0	69	1	72	8	R1	R1	N	N	N	N	N	N	R1 Prohibited unless DC current has been isolated
