Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	58	Notes
London-North-Western-North	0962	NW3005	WSJ2	Route Boundary (GW731) (Crewe Jn) – Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	199	00	202	60	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3005	WSJ2	Route Boundary Wales / LNW – Saltney Jn	202	60	212	06	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3007	WDB1	Wrexham Central – Wrexham Exchange Jn	0	16	0	68	5	R1	N	Y	R1	R1	R1	R1	R1	R1 Prohibited between Wrexham Central and Wrexham General unless authorised by the Infrastructure Manager's track engineer
London-North-Western-North	0962	NW3007	WDB1	Wrexham Exchange Jn – Change of RA at 13m 20ch (South end of Hawarden Bridge)	0	68	13	20	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3007	WDB1	Change of RA at 13m 20ch (South end of Hawarden Bridge) – Change of ELR	13	20	13	33	7	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3007	WDB2 /3	Change of ELR – Route Boundary Wales / LNW	14	15	11	00	7	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3007	WDB3	Route Boundary Wales / LNW Bidston Dee Jn	11	00	0	08	7	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3009	CVS	Chester North Jn – Chester South Jn	0	36	0	13	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3011	CRR1	Chester West Jn – Hooton South Jn	0	16	7	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3013	HHJ	Hooton South. Jn – Ellesmere Port (Limit of DC Electrification)	0	02	3	44	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3013	HHJ	Ellesmere Port (Limit of DC Electrification) – Helsby Jn	3	44	8	67	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3015	LJT1	Llandudno Jn – Blaenau Ffestiniog, End of Line	0	30	27	53	7	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3019	GLA	Gaerwen – Network Rail Boundary	0	00	17	37	6	N	N	N	N	N	N	N	N	Line out of use NC/G1/2008/LNW396
London-North-Western-North	0962	NW3021	FJH	Frodsham Jn – Halton Jn	1	54	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0962	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	8	Y	Y	Y	Y	Y	Y	Y	Y	
