London-North-Western-North	0971	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Western-North	0971	NW7015	PRG	End of Line (Padiham Power Station Sidings)	Rose Grove West Jn	End of Line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	7	N	N	Y	N	N	N	Line out of use
London-North-Western-North	0971	NW7017	GJC	Gannow Jn	Colne	Gannow Jn – Colne	21	03	27	37	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW7019	MPR2	Thorpes Bridge Jn	Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW7021	MVL1	Miles Platting Jn	Philips Park West Jn	Miles Platting Jn – Philips Park West Jn	1	30	1	59	8	H	H	Y	H	N	N	
London-North-Western-North	0971	NW7021	MVL1	Philips Park West Jn	Baguley Fold Jn	Philips Park West Jn – Baguley Fold Jn	1	59	2	39	8	H	H	Y	H	N	N	
London-North-Western-North	0971	NW7021	MVL1	Baguley Fold Jn	Ashton Moss North Jn	Baguley Fold Jn – Ashton Moss North Jn	2	39	5	41	8	H	H	Y	H	N	N	
London-North-Western-North	0971	NW7021	MVL1	Ashton Moss North Jn	Stalybridge Jn	Ashton Moss North Jn – Stalybridge Jn	5	41	7	46	8	H	H	Y	H	N	N	
London-North-Western-North	0971	NW7021	MVL2	Stalybridge Jn	Stalybridge Tunnel Jn	Stalybridge Jn – Stalybridge Tunnel Jn	7	46	8	08	8	H	H	Y	H	N	N	
London-North-Western-North	0971	NW7021	MVL3	Stalybridge Tunnel Jn	Route Boundary (LN860) (Springwood Jn)	Stalybridge Tunnel Jn – Route Boundary (LN860) (Springwood Jn)	8	08	15	11	8	H	H	Y	H	N	N	
London-North-Western-North	0971	NW7023	BPP	Philips Park West Jn	Brewery Jn	Philips Park West Jn – Brewery Jn	0	00	0	18	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW7025	PPA1	Philips Park West Jn	Philips Park South Jn	Philips Park West Jn – Philips Park South Jn	1	59	2	07	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW7025	PPA1	Philips Park South Jn	Change of Mileage	Philips Park South Jn – Change of Mileage	2	07	3	12	7	N	N	Y	N	N	N	
London-North-Western-North	0971	NW7025	PPA2	Change of Mileage	Ashburys West Jn	Change of Mileage – Ashburys West Jn	0	57	0	00	7	N	N	Y	N	N	N	
London-North-Western-North	0971	NW7027	PPP1	Baguley Fold Jn	Change of Mileage	Baguley Fold Jn – Change of Mileage	2	39	2	13	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW7027	PPP2	Change of Mileage	Philips Park South Jn	Change of Mileage – Philips Park South Jn	0	00	0	19	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8001	HXS1	Hunts Cross West Jn	Liverpool Central	Hunts Cross West Jn – Liverpool Central	6	11	0	02	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8001	HXS2	Liverpool Central	Paradise Jn	Liverpool Central – Paradise Jn	37	13	36	71	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8001	HXS2	Paradise Jn	Sandhills Jn	Paradise Jn – Sandhills Jn	36	71	34	75	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8001	HXS3	Sandhills Jn	Bootle Jn	Sandhills Jn – Bootle Jn	1	41	2	39	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8001	HXS3	Bootle Jn	Southport	Bootle Jn – Southport	2	39	18	35	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8003	SIL	Paradise Jn	James Street (Stock Interchange/Holding line)	Paradise Jn – James Street (Stock Interchange/Holding line)	0	32	0	53	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8005	SJO1	Sandhills Jn	Walton Jn	Sandhills Jn – Walton Jn	34	75	33	16	7	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8005	SJO2	Walton Jn	Ormskirk	Walton Jn – Ormskirk	3	20	12	13	8	N	N	Y	N	N	N	
London-North-Western-North	0971	NW8007	HXS/ NMM	Bootle Jn	Change of ELR (Site of Former North Mersey Jn)	Bootle Jn – Change of ELR (Site of Former North Mersey Jn)	2	34	3	52	7	N	N	Y	N	N	N	
