London-North-Western-North	1000	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
London-North-Western-North	1000	NW9003	CYC	Chinley East Jn	Chinley South Jn (Chord Line)	Chinley East Jn – Chinley South Jn (Chord Line)	168	32	167	56	8	Y	
London-North-Western-North	1000	NW9005	CNB1	Chinley North Jn	Chinley South Jn	Chinley North Jn – Chinley South Jn	168	39	167	56	8	Y	
London-North-Western-North	1000	NW9005	CNB1	Chinley South Jn	Change of Mileage (Site of Former Peak Forest Jn)	Chinley South Jn – Change of Mileage (Site of Former Peak Forest Jn)	167	56	161	05	8	R1 R2 R3	R1 Prohibited through Chapel LNW Tunnel on the Down Goods line R2 Prohibited between Chinley South Jn and Peak Forest South Jn on the Down Goods line R3 Prohibited between Chinley South Jn and Peak Forest South Jn on the Up Goods line
London-North-Western-North	1000	NW9005	CNB2	Change of Mileage (Site of Former Peak Forest Jn)	Change of Mileage (Site of Former Buxton Jn)	Change of Mileage (Site of Former Peak Forest Jn) – Change of Mileage (Site of Former Buxton Jn)	0	00	0	28	8	Y	
London-North-Western-North	1000	NW9005	CNB3	Change of Mileage (Site of Former Buxton Jn)	Buxton SB	Change of Mileage (Site of Former Buxton Jn) – Buxton SB	161	15	164	52	8	Y	
London-North-Western-North	1000	NW9005	CNB4	Buxton SB	Buxton Sidings	Buxton SB – Buxton Sidings	164	52	165	12	8	Y	
London-North-Western-North	1000	NW9007	TTA1	New Mills South Jn	Marple Wharf Jn	New Mills South Jn – Marple Wharf Jn	172	17	177	23	8	R1 R2	R1 Prohibited between New Mills South Jn and New Mills Central on the Down Romiley line R2 Prohibited between Strines and Marple on the Up Romiley line
London-North-Western-North	1000	NW9007	TTA1	Marple Wharf Jn	Romiley Jn	Marple Wharf Jn – Romiley Jn	177	23	178	33	8	Y	
London-North-Western-North	1000	NW9007	TTA1	Romiley Jn	Brinnington (Change of Mileage)	Romiley Jn – Brinnington (Change of Mileage)	178	33	181	00	7	Y	
London-North-Western-North	1000	NW9007	TTA2	Brinnington (Change of Mileage)	Ashburys East Jn	Brinnington (Change of Mileage) – Ashburys East Jn	42	77	46	24	7	R1	R1 Prohibited between Belle Vue and Ashburys East Jn on the Up Reddish Branch line
London-North-Western-North	1000	NW9009	MRH	Marple Wharf Jn	Rose Hill Buffer Stop	Marple Wharf Jn – Rose Hill Buffer Stop	11	02	9	78	8	Y	
London-North-Western-North	1000	NW9011	RYH1	Romiley Jn	Woodley Jn	Romiley Jn – Woodley Jn	178	33	179	44	8	Y	
London-North-Western-North	1000	NW9011	RYH2	Woodley Jn	Hyde Jn	Woodley Jn – Hyde Jn	8	74	6	16	8	Y	
London-North-Western-North	1000	NW9013	WJP1	Woodley Jn	Bredbury Sidings	Woodley Jn – Bredbury Sidings	40	53	39	58	7	Y	
London-North-Western-North	1000	NW9017	NMC1/ 2	Hazel Grove High Level Jn	Cheadle Jn	Hazel Grove High Level Jn – Cheadle Jn	177	40	181	71	8	Y	
London-North-Western-North	1000	NW9017	WJP1	Cheadle Jn	Northenden Jn	Cheadle Jn – Northenden Jn	35	64	33	52	8	Y	
London-North-Western-North	1000	NW9019	BUX	Buxton	Brigg’s Sidings	Buxton – Brigg’s Sidings	0	00	4	70	8	Y	
