Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-North	1060	NW3007	WDB3	Route Boundary Wales / LNW (Burton Point) – Bidston Dee Jn	11	00	0	08	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3009	CVS	Chester North Jn – Chester South Jn	0	36	0	13	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3011	CRR1	Chester West Jn – Hooton South Jn	0	16	7	68	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3013	HHJ	Hooton South Jn – Ellesmere Port (Limit of DC electrification)	0	02	3	44	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3013	HHJ	Ellesmere Port (Limit of DC electrification) – Helsby Jn	3	44	8	67	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3015	LJT1	Llandudno Jn – Blaenau Ffestiniog, End of line	0	30	27	53	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3019	GLA	Gaerwen Jn – Amlwch (Network Rail Boundary)	0	00	17	37	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3021	FJH	Frodsham Jn – Halton Jn	1	54	0	00	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3023	CDM1	Deansgate Jn – Change of ELR (Altrincham)	7	05	8	00	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3023	CDM2	Change of ELR (Altrincham) – Mickle Trafford Jn	7	69	35	40	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3025	WJP1	Skelton Jn – Partington Jn Network Rail Boundary	30	12	27	20	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3027	CDM1	Network Rail Boundary (Metrolink) – Deansgate Jn	6	77	7	05	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3027	CDM1	Deansgate Jn – Altrincham	7	05	8	00	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3029	SNJ	Sandbach North Jn – Northwich West Jn	0	00	8	64	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3031	NSN	Northwich South Jn – Northwich Station Jn	8	37	8	66	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3033	HEG	Hartford East Jn – Hartford North Jn (East Goods line)	21	67	22	10	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3035	HWG	Hartford West Jn – Hartford North Jn (West Goods line)	0	11	0	29	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW3037	HCN	Hartford CLC Jn – Hartford Jn	0	72	0	16	N	N	N	N	N	N	N	
London-North-Western-North	1060	NW4001	CGJ5	Preston Ribble Jn – Preston	21	13	21	57	N	N	N	N	N	N	N	
