London-North-Western-South	0472	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	165	166 RH M	168	170	171	172	175	180	195	220	221	Notes
London-North-Western-South	0472	MD105	HNR	Northampton North Jn	Rugby South Jn	Northampton North Jn – Rugby South Jn	66	12	83	54	E R1	N	E	Y	N	E R2	Y	N	N	Y	Y	R1 Route prohibited to Class 165/1 R2 Route prohibited to Class 172/2 and 172/3
London-North-Western-South	0472	MD120	CWJ	Camden Jn DC lines (Down DC line mileage)	Kilburn High Road (DC Lines)	Camden Jn DC lines (Down DC line mileage) – Kilburn High Road (DC Lines)	1	36	3	01	N	N	N	N	N	E R1	N	N	N	N	N	R1 Prohibited to Class 172/2 and 172/3
London-North-Western-South	0472	MD120	CWJ	Kilburn High Road	Willesden Suburban Jn (DC Lines)	Kilburn High Road – Willesden Suburban Jn (DC Lines)	3	01	5	28	N	N	N	N	N	E R1	N	N	N	N	N	R1 Prohibited to Class 172/2 and 172/3
London-North-Western-South	0472	MD120	CWJ	Willesden Suburban Jn	Harrow and Wealdstone (Sand Drag) (DC Lines)	Willesden Suburban Jn – Harrow and Wealdstone (Sand Drag) (DC Lines)	5	28	11	46	E R1 R2	N	E R2	N	N	R2 R3 R4	N	N	N	N	N	R1 Route prohibited to Class 165/1 R2 Permitted Willesden Junction Low Level for access to Willesden TMD R3 Prohibited between Willesden Junction Low Level and Harrow and Wealdstone R4 Prohibited to Class 172/2 and 172/3 when laden
London-North-Western-South	0472	MD120	CWJ	Harrow and Wealdstone (Sand Drag)	Watford Jn (DC Lines)	Harrow and Wealdstone (Sand Drag) – Watford Jn (DC Lines)	11	46	17	58	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0472	MD130	WSA	WatfordJunction	St Albans Abbey	WatfordJunction – St Albans Abbey	0	00	6	45	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0472	MD136	WCL	Harlesden Jn	Railnet Jn	Harlesden Jn –Railnet Jn	1	00	1	11	N	N	N	N	N	E	N	N	N	N	Y	
London-North-Western-South	0472	MD136	WCL	Railnet Jn	Willesden Carriage Shed South	Railnet Jn – Willesden Carriage Shed South	1	11	2	00	N	N	N	N	N	E	N	N	N	N	Y	
London-North-Western-South	0472	MD136	WCL	Willesden Carriage Shed South	Connection with Yard line	Willesden Carriage Shed South – Connection with Yard line	2	00	2	60	N	N	N	N	N	E	N	N	N	N	Y	
London-North-Western-South	0472	MD136	WEF1	Connection with Yard line	Wembley Central Jn	Connection with Yard line – Wembley Central Jn	2	60	2	76	N	N	N	N	N	E	N	N	N	N	Y	
London-North-Western-South	0472	MD137	WCL	Harlesden Jn	Railnet Jn	Harlesden Jn –Railnet Jn	1	00	1	11	N	N	N	N	N	E	N	N	N	N	Y	
London-North-Western-South	0472	MD137	UHL	Railnet Jn	Wembley Yard South Jn	Railnet Jn – Wembley Yard South Jn	1	11	1	62	N	N	N	N	N	E	N	N	N	N	Y	
London-North-Western-South	0472	MD137	WEF1	Wembley Yard South Jn	Wembley Central Jn	Wembley Yard South Jn – Wembley Central Jn	1	62	2	76	N	N	N	N	N	E	N	N	N	N	Y	
London-North-Western-South	0472	MD140	LEC1	Bletchley South Jn	Bletchley North Jn (Change of Mileage)	Bletchley South Jn – Bletchley North Jn (Change of Mileage)	46	41	46	59	N	N	N	N	N	E R1	N	N	N	N	N	R1 Prohibited with footsteps fitted
London-North-Western-South	0472	MD140	BBM	Bletchley North Jn (Change of Mileage)	Limit of electrification (Bletchley TMD)	Bletchley North Jn (Change of Mileage) – Limit of electrification (Bletchley TMD)	0	11	0	21	N	N	N	N	N	E R1	N	N	N	N	N	R1 Prohibited with footsteps fitted
London-North-Western-South	0472	MD140	BBM	Limit of electrification (Bletchley TMD)	Route Boundary (LN3140) (Bedford)	Limit of electrification (Bletchley TMD) – Route Boundary (LN3140) (Bedford)	0	21	16	07	N	N	N	N	N	E R1	N	N	N	N	N	R1 Prohibited with footsteps fitted
London-North-Western-South	0472	MD145	CRC2	Route Boundary (EA1320) (Camden Road West Jn)	Camden Jn (North DC lines)	Route Boundary (EA1320) (Camden Road West Jn) – Camden Jn (North DC lines)	5	42	5	78	Y	N	N	Y	N	E	N	N	N	N	E	
London-North-Western-South	0472	MD150	KGW	Route Boundary (EA1310) (Kensal Green Jn)	Willesden Suburban Jn	Route Boundary (EA1310) (Kensal Green Jn) – Willesden Suburban Jn	5	25	5	36	E R1	N	E	N	N	R2	N	N	N	N	N	R1 Route prohibited to Class 165/1 R2 Prohibited to Class 172/2 and 172/3 when laden
