London-North-Western-South	0497	Lineofroute	ELR	LineofRoute/SectorDescription		LineofRoute/SectorDescription	 M	 Ch	 M	 Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0497	MD405	LSC2	MilvertonChangeofELR	Coventry South Jn	MilvertonChangeofELR–CoventrySouthJn	0	00	8	45	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD410	CNN	CoventryNorthJn	Nuneaton South Jn	CoventryNorthJn–NuneatonSouthJn	0	00	9	53	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD415	HSA	HattonStationJn	Bearley Jn	HattonStationJn–BearleyJn	18	12	12	48	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD415	HSA	BearleyJn	Stratford Upon Avon (End of Headshunt)	BearleyJn–StratfordUponAvon(EndofHeadshunt)	12	48	8	63	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD420	HHW	HattonNorthJn	Hatton West Jn	HattonNorthJn–HattonWestJn	18	25	17	62	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD425	TSB	TyseleySouthJn	Bearley Jn	TyseleySouthJn–BearleyJn	0	00	17	71	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD430	OWW	RouteBoundary(GW370)(DroitwichSpa)	Kidderminster	RouteBoundary(GW370)(DroitwichSpa)–Kidderminster	130	40	135	46	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD430	OWW	Kidderminster	Stourbridge North Jn	Kidderminster–StourbridgeNorthJn	135	46	142	51	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD435	DCL	SmallHeathSouthJn	Site of Former Handsworth Jn	SmallHeathSouthJn–SiteofFormerHandsworthJn	126	59	132	47	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD435	HSJ	SiteofFormerHandsworthJn	Smethwick Jn	SiteofFormerHandsworthJn–SmethwickJn	132	47	133	32	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD435	GSJ2	SmethwickJn	Stourbridge North Jn	SmethwickJn–StourbridgeNorthJn	133	32	141	06	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD440	GSJ1	GaltonJn	Smethwick Jn	GaltonJn–SmethwickJn	3	64	4	08	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD445	SJS	StourbridgeJn	Stourbridge Town	StourbridgeJn–StourbridgeTown	142	16	142	78	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0497	MD450	OWW	StourbridgeNorthJn	Round Oak	StourbridgeNorthJn–RoundOak	142	15	146	13	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD455	KWD	KingswinfordJn	Network Rail Boundary	KingswinfordJn–NetworkRailBoundary	144	33	145	60	N	N	N	N	N	N	N	N	N	N	Line out of use NME/2005/LNW284
London-North-Western-South	0497	MD460	SJT1	KinetonMODBranch	Burton Dassett (MOD Kineton)	KinetonMODBranch–BurtonDassett(MODKineton)	22	60	25	60	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0497	MD501	DBP1	RouteBoundary(LN3501)(LondonRoadJn)	Kingsbury Jn	RouteBoundary(LN3501)(LondonRoadJn)–KingsburyJn	23	30	29	39	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD501	DBP2	KingsburyJn	Water Orton East Jn	KingsburyJn–WaterOrtonEastJn	29	39	33	22	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD501	DBP3	WaterOrtonEastJn(ChangeofMileage)	Landor Street Jn	WaterOrtonEastJn(ChangeofMileage)–LandorStreetJn	34	43	40	60	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD501	DBP3	LandorStreetJn	Proof House Jn	LandorStreetJn–ProofHouseJn	40	60	41	51	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD545	KJW	KingsburyJn	Whitacre Jn (Change of Mileage)	KingsburyJn–WhitacreJn(ChangeofMileage)	29	39	31	69	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD555	NWO	NuneatonNorthJunction	Lmit of Electrification	NuneatonNorthJunction–LmitofElectrification	10	18	10	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD555	NWO	LimitofElectrification	Whitacre West Junction	LimitofElectrification–WhitacreWestJunction	10	00	0	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0497	MD555	DBP3	WhitacreWestJn	Water Orton East Jn	WhitacreWestJn–WaterOrtonEastJn	31	69	34	43	N	N	N	N	N	N	N	H	N	N	
