London-North-Western-South	0499	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	313	315	317	319	321	322	323	325	350	360	Notes
London-North-Western-South	0499	MD725	MCJ2	Aylesbury Vale Parkway	Change of Mileage (Quainton Road)	Aylesbury Vale Parkway – Change of Mileage (Quainton Road)	40	38	44	28	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD725	MCJ3	Change of Mileage (Quainton Road)	Calvert Jn (Change of Mileage)	Change of Mileage (Quainton Road) – Calvert Jn (Change of Mileage)	161	50	156	72	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD725	MCJ4	Calvert Jn (Change of Mileage)	Claydon L&NE Jn	Calvert Jn (Change of Mileage) – Claydon L&NE Jn	0	00	0	41	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD736	OXD	Route Boundary (GW277)	Gavray Junction	Route Boundary (GW277) –Gavray Junction	29	25	19	00	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0499	MD736	OXD	Gavray Junction	Gates (Claydon)	Gavray Junction – Gates (Claydon)	19	00	12	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD736	OXD	Gates (Claydon)	Buffer Stops	Gates (Claydon) – Buffer Stops	12	00	1	31	N	N	N	N	N	N	N	N	N	N	Line non operational
London-North-Western-South	0499	MD736	OXD	Buffer Stops	Flyover Junction (Change of ELR)	Buffer Stops – Flyover Junction (Change of ELR)	1	27	0	62	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD736	BFO	Flyover Junction (Change of ELR)	Flyover Junction Summit	Flyover Junction (Change of ELR) – Flyover Junction Summit	0	00	0	68	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD736	DHF	Flyover Junction Summit	Limit of Electrification	Flyover Junction Summit – Limit of Electrification	0	68	1	37	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD736	DHF	Limit of Electrification	Bletchley Flyover North Jn	Limit of Electrification – Bletchley Flyover North Jn	1	37	1	61	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD736	DHF	Bletchley Flyover North Jn	Denbigh Hall South Jn	Bletchley Flyover North Jn – Denbigh Hall South Jn	1	61	1	73	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD740	BFO	Flyover Jn (Summit)	Fenny Stratford Bletchley Flyover Jn	Flyover Jn (Summit) – Fenny Stratford Bletchley Flyover Jn	0	68	1	59	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD745	BSG	Bicester South Junction	Gavray Junction	Bicester South Junction – Gavray Junction	0	00	0	52	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0499	MD801	WSJ1	Wolverhampton North Jn	Oxley, Stafford Road Jn (Change of Mileage)	Wolverhampton North Jn – Oxley, Stafford Road Jn (Change of Mileage)	143	52	142	79	N	N	Y	N	Y	Y	Y	H	E	N	
London-North-Western-South	0499	MD801	WSJ2	Oxley, Stafford Road Jn (Change of Mileage)	Limit of Electrification	Oxley, Stafford Road Jn (Change of Mileage) – Limit of Electrification	143	02	143	65	N	N	Y	N	Y	Y	Y	H	E	N	
London-North-Western-South	0499	MD801	WSJ2	Limit of Electrification	Madeley Jn	Limit of Electrification – Madeley Jn	143	65	156	19	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD801	WSJ2	Madeley Jn	Route Boundary (GW731) (Abbey Foregate )	Madeley Jn – Route Boundary (GW731) (Abbey Foregate )	156	19	170	46	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD805	OXC	Bushbury (Oxley) Jn	Stafford Road Jn	Bushbury (Oxley) Jn – Stafford Road Jn	1	02	0	00	N	N	N	N	N	N	N	H	N	N	
London-North-Western-South	0499	MD810	MJI1	Madeley Junction	Site of Former Lightmoor Jn	Madeley Junction – Site of Former Lightmoor Jn	156	19	160	29	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0499	MD810	MJI2	Site of Former Lightmoor Jn	Ironbridge Power Station (NR Boundary)	Site of Former Lightmoor Jn – Ironbridge Power Station (NR Boundary)	156	19	160	29	N	N	N	N	N	N	N	N	N	N	
