London-North-Western-South	0507	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	373	377	378	379	380	387	390	458	499	508	700	Notes
London-North-Western-South	0507	MD555	DBP3	Whitacre West Jn	Water Orton East Jn	Whitacre West Jn – Water Orton East Jn	31	69	34	43	N	N	N	N	V	N	H	N	N	N	N	
London-North-Western-South	0507	MD560	WOP	Water Orton West Jn	Park Lane Change ofELR	Water Orton West Jn – Park Lane Change ofELR	35	15	36	04	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD560	CBR2	Park Lane Change of ELR	Park Lane Jn	Park Lane Change of ELR – Park Lane Jn	36	04	36	15	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD565	CBR1	Castle Bromwich Jn	Park Lane Jn	Castle Bromwich Jn – Park Lane Jn	0	55	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD565	CBR2	Park Lane Jn	Ryecroft Jn	Park Lane Jn –Ryecroft Jn	36	04	47	48	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD570	LSS	Landor Street Jn	St Andrews Jn	Landor Street Jn – St Andrews Jn	40	60	41	18	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD570	SKN	St Andrews Jn	Bordesley Jn	St Andrews Jn – Bordesley Jn	41	18	41	44	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD570	SKN	Bordesley Jn	Kings Norton Jn (Camp Hill Lines)	Bordesley Jn – Kings Norton Jn (Camp Hill Lines)	41	44	46	77	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD575	SAG	St Andrews Jn	Grand Jn	St Andrews Jn – Grand Jn	0	00	0	52	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD580	LEL	Lifford East Jn	Lifford West Jn	Lifford East Jn – Lifford West Jn	46	11	46	36	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD701	MCJ1	London Marylebone	Neasden South Jn (Change of Mileage)	London Marylebone – Neasden South Jn (Change of Mileage)	205	77	200	65	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD701	NAJ1	Neasden South Jn (Change of Mileage)	Northolt Jn	Neasden South Jn (Change of Mileage) – Northolt Jn	6	30	0	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD701	NAJ2	Northolt Jn	Princes Risborough Jn	Northolt Jn –Princes Risborough Jn	0	00	24	50	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD701	NAJ2	Princes Risborough Jn	Site of Former Ashendon Jn (Change of Mileage)	Princes Risborough Jn – Site of Former Ashendon Jn (Change of Mileage)	24	50	33	69	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD701	NAJ3	Site of Former Ashendon Jn (Change of Mileage)	Aynho Jn	Site of Former Ashendon Jn (Change of Mileage) –Aynho Jn	0	00	18	35	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD705	ANL	Route Boundary (GW110) (Greenford West Jn)	Northolt Jn (South Ruislip)	Route Boundary (GW110) (Greenford West Jn) – Northolt Jn (South Ruislip)	8	60	10	15	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD710	MCJ1	Neasden South Jn	Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	Neasden South Jn – Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	200	66	197	05	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD712	MCJ2	Network Rail Boundary (LUL) (Amersham, Mantles Wood)	Aylesbury Jn	Network Rail Boundary (LUL) (Amersham, Mantles Wood) – Aylesbury Jn	25	21	38	08	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD712	MCJ2	Aylesbury Jn	Aylesbury	Aylesbury Jn –Aylesbury	38	08	38	13	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD715	NJN	Neasden South Jn	Route Boundary (EA1360) (Neasden Jn)	Neasden South Jn – Route Boundary (EA1360) (Neasden Jn)	6	30	6	51	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD720	NAJ2	Princes Risborough	Change of Mileage (Princes Risborough Jn)	Princes Risborough – Change of Mileage (Princes Risborough Jn)	24	40	24	48	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-South	0507	MD720	PRA	Change of Mileage (Princes Risborough Jn)	Aylesbury Jn	Change of Mileage (Princes Risborough Jn) – Aylesbury Jn	42	31	49	35	N	N	N	N	N	N	N	N	N	N	N	
