London-North-Western-South	0557	Line of route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes	
London-North-Western-South	0557					W6a	W7	W8	W9	W9Plus	W10	W10A	W12		
London-North-Western-South	0557	MD315	Stechford South Junction – Aston South Junction	Stechford South Junction	Aston South Junction	Y *	Y	Y	Y	N	Y	N	N		
London-North-Western-South	0557	MD320	Proof House Junction – Bushbury Junction via Bescot and Wednesfield Heath Tunnel (Grand Junction Line)	Proof House Junction	Bushbury Junction via Bescot and Wednesfield Heath Tunnel (Grand Junction Line)	Y *	Y	Y	R1	N	R1	N	N	R1	W9 and W10 prohibited between Proof House Junction and Aston South Junction
London-North-Western-South	0557	MD325	Soho South Junction – Perry Barr North Junction	Soho South Junction	Perry Barr North Junction	Y	Y	Y	N	N	N	N	N		
London-North-Western-South	0557	MD330	Soho East Junction – Soho North Junction	Soho East Junction	Soho North Junction	Y	Y	Y	N	N	N	N	N		
London-North-Western-South	0557	MD335	Perry Barr West Junction – Perry Barr South Junction	Perry Barr West Junction	Perry Barr South Junction	Y	Y	Y	N	N	N	N	N		
London-North-Western-South	0557	MD340	Aston North Junction – Alrewas (Exclusive)	Aston North Junction	Alrewas (Exclusive)	Y *	Y	Y	R1	R1	R1	R1	R1	R1	Prohibited Aston North Junction to Lichfield Trent Valley Jn
London-North-Western-South	0557	MD345	Bescot Junction – Ryecroft Junction	Bescot Junction	Ryecroft Junction	Y *	Y	Y	Y	N	Y	N	N		
London-North-Western-South	0557	MD345	Ryecroft Junction–Cannock	Ryecroft Junction–Cannock		Y *	Y	Y	Y	n	Y	Y	N		
London-North-Western-South	0557	MD345	Cannock – Brereton Sidings [13m 25ch]	Cannock	Brereton Sidings [13m 25ch]	Y *	N	N	Y	n	Y	Y	N		
London-North-Western-South	0557	MD345	Brereton Sidings [13m 25ch] – Rugeley North Junction (Exclusive)	Brereton Sidings [13m 25ch]	Rugeley North Junction (Exclusive)	Y *	Y	Y	Y	n	Y	Y	N		
London-North-Western-South	0557	MD350	Anglesea Sidings – Lichfield City Junction	Anglesea Sidings	Lichfield City Junction	Y	Y	Y	N	N	N	N	N		
London-North-Western-South	0557	MD355	Lichfield Trent Valley Junction – Lichfield Trent Valley (Chord Line)	Lichfield Trent Valley Junction	Lichfield Trent Valley (Chord Line)	Y	Y	Y	N	N	N	N	N		
London-North-Western-South	0557	MD360	Walsall, Pleck Junction – Darlaston Junction	Walsall, Pleck Junction	Darlaston Junction	Y	Y	Y	Y	N	Y	N	N		
London-North-Western-South	0557	MD365	Portobello Junction – Wolverhampton Crane Street Junction	Portobello Junction	Wolverhampton Crane Street Junction	Y	Y	Y	N	N	Y	N	N		
London-North-Western-South	0557	MD401	Heyford – Bordesley Junction via Dorridge	Heyford	Bordesley Junction via Dorridge	Y *	Y	Y	N	N	R1	N	N	R1	Prohibited from the Down & Up Hatton platform line (platform 3) at Hatton
London-North-Western-South	0557	MD405	Leamington Spa Junction – Coventry South Junction via Milverton Jn	Leamington Spa Junction	Coventry South Junction via Milverton Jn	Y	Y	Y	N	N	Y	N	N		
London-North-Western-South	0557	MD410	Coventry North Junction – Nuneaton South Junction via Bedworth	Coventry North Junction	Nuneaton South Junction via Bedworth	Y *	Y	Y	N	N	Y	N	N		
London-North-Western-South	0557	MD415	Hatton Station Junction – Stratford- upon-Avon via Bearley	Hatton Station Junction	Stratford- upon-Avon via Bearley	Y *	Y	N	N	N	N	N	N		
London-North-Western-South	0557	MD420	Hatton North Junction – Hatton West Junction	Hatton North Junction	Hatton West Junction	Y	Y	N	N	N	N	N	N		
London-North-Western-South	0557	MD425	Tyseley South Junction – Bearley Junction via Shirley	Tyseley South Junction	Bearley Junction via Shirley	Y *	Y	N	N	N	N	N	N		
