London-North-Western-South	0568	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Western-South	0568	MD560	CBR2	Park Lane Change of ELR	Park Lane Jn	Park Lane Change of ELR – Park Lane Jn	36	04	36	15	8	Y	
London-North-Western-South	0568	MD565	CBR1	Castle Bromwich Jn	Park Lane Jn	Castle Bromwich Jn – Park Lane Jn	0	55	0	00	8	Y	
London-North-Western-South	0568	MD565	CBR2	Park Lane Jn	Ryecroft Jn	Park Lane Jn – Ryecroft Jn	36	04	47	48	8	Y	
London-North-Western-South	0568	MD570	LSS	Landor Street Jn	St Andrews Jn	Landor Street Jn – St Andrews Jn	40	60	41	18	8	Y	
London-North-Western-South	0568	MD570	SKN	St Andrews Jn	Bordesley Jn	St Andrews Jn – Bordesley Jn	41	18	41	44	8	Y	
London-North-Western-South	0568	MD570	SKN	Bordesley Jn	Kings Norton Jn (Camp Hill Lines)	Bordesley Jn – Kings Norton Jn (Camp Hill Lines)	41	44	46	77	8	R1	R1 Prohibited between Bordesley Jn and Lifford East Jn on the Up Camp Hill line
London-North-Western-South	0568	MD575	SAG	St Andrews Jn	Grand Jn	St Andrews Jn – Grand Jn	0	00	0	52	8	Y	
London-North-Western-South	0568	MD580	LEL	Lifford East Jn	Lifford West Jn	Lifford East Jn – Lifford West Jn	46	11	46	36	8	Y	
London-North-Western-South	0568	MD701	MCJ1	London Marylebone	Neasden South Jn (Change of Mileage)	London Marylebone – Neasden South Jn (Change of Mileage)	205	77	200	65	8	Y	
London-North-Western-South	0568	MD701	NAJ1	Neasden South Jn (Change of Mileage)	Northolt Jn	Neasden South Jn (Change of Mileage) – Northolt Jn	6	30	0	00	7	R1	R1 Prohibited between Northolt Park Jn and Northolt Jn on the Down Northolt Loop line
London-North-Western-South	0568	MD701	NAJ2	Northolt Jn	Princes Risborough Jn	Northolt Jn –Princes Risborough Jn	0	00	24	50	7	Y	
London-North-Western-South	0568	MD701	NAJ2	Princes Risborough Jn	Site of Former Ashendon Jn (Change of Mileage)	Princes Risborough Jn – Site of Former Ashendon Jn (Change of Mileage)	24	50	33	69	7	Y	
London-North-Western-South	0568	MD701	NAJ3	Site of Former Ashendon Jn (Change of Mileage)	Aynho Jn	Site of Former Ashendon Jn (Change of Mileage) –Aynho Jn	0	00	18	35	7	Y	
London-North-Western-South	0568	MD705	ANL	Route Boundary (GW110) (Greenford West Jn)	Northolt Jn (South Ruislip)	Route Boundary (GW110) (Greenford West Jn) –Northolt Jn (South Ruislip)	8	60	10	15	8	Y	
London-North-Western-South	0568	MD710	MCJ1	Neasden South Jn	Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	Neasden South Jn – Network Rail Boundary (LUL) (Harrow-on-the-Hill South Jn)	200	66	197	05	8	Y	
London-North-Western-South	0568	MD712	MCJ2	Network Rail Boundary (LUL) (Amersham, Mantles Wood)	Aylesbury Jn	Network Rail Boundary (LUL) (Amersham, Mantles Wood) – Aylesbury Jn	25	21	38	08	8	Y	
London-North-Western-South	0568	MD712	MCJ2	Aylesbury Jn	Aylesbury	Aylesbury Jn –Aylesbury	38	08	38	13	8	Y	
London-North-Western-South	0568	MD715	NJN	Neasden South Jn	Route Boundary (EA1360) (Neasden Jn)	Neasden South Jn – Route Boundary (EA1360) (Neasden Jn)	6	30	6	51	8	Y	
London-North-Western-South	0568	MD720	NAJ2	Princes Risborough	Change of Mileage (Princes Risborough Jn)	Princes Risborough – Change of Mileage (Princes Risborough Jn)	24	40	24	48	8	Y	
London-North-Western-South	0568	MD720	PRA	Change of Mileage (Princes Risborough Jn)	Aylesbury Jn	Change of Mileage (Princes Risborough Jn) – Aylesbury Jn	42	31	49	35	8	Y	
London-North-Western-South	0568	MD725	MCJ2	Aylesbury	Aylesbury Vale Parkway	Aylesbury –Aylesbury Vale Parkway	38	13	40	38	8	Y	
London-North-Western-South	0568	MD725	MCJ2	Aylesbury Vale Parkway	Change of Mileage (Quainton Road)	Aylesbury Vale Parkway – Change of Mileage (Quainton Road)	40	38	44	28	8	Y	
