Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	37/7 37/9	Notes
London-North-Western-South	0617	MD801	WSJ2	Madeley Jn – Route Boundary (GW731) (Abbey Foregate )	156	19	170	46	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD805	OXC	Bushbury (Oxley) Jn – Stafford Road Jn	1	02	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD810	MJI1	Madeley Junction – Site of Former Lightmoor Jn	156	19	160	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD810	MJI2	Site of Former Lightmoor Jn – Ironbridge Power Station (NR Boundary)	156	19	160	29	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD900	ABW	Abbotswood Jn – Norton Jn	0	00	0	62	8	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD900	OWW	Norton Jn – Shrub Hill Jn	117	26	120	46	8	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD900	OWW	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	8	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD900	STO	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	8	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD910	OWW	Pershore (excl) – Norton Jn	112	00	117	26	7	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD940	WAH	Shrub Hill Jn – Henwick SB (Branch Single)	120	46	121	65	7	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD940	WAH	Henwick SB – Shelwick Jn	121	65	148	11	7	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD950	BLW	Worcester Tunnel Jn – Site of former Rainbow Hill Jn Change of ELR	0	30	0	00	7	Y	N	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-South	0617	MD950	WAH	Site of former Rainbow Hill Jn Change of ELR – Henwick SB (Droitwich Single)	120	64	121	65	7	Y	N	Y	Y	Y	Y	Y	Y	Y	
