Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-South	0659	MD150	KGW	Route Boundary (EA1310) (Kensal Green Jn) – Willesden Suburban Jn	5	25	5	36	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD155	KGC	Route Boundary (EA1310) (Kensal Green Jn) – Harlesden Jn	0	21	1	00	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD160	WMB	Route Boundary (EA1310) (Willesden High Level Jn) – Mitre Bridge Jn	0	09	0	00	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD166	WLL	Route Boundary (SO250) (North Pole Jn) – Mitre Bridge Jn	5	65	5	67	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD166	WLL	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD166	LLG	West London Jn (Willesden) – Wembley Central Jn (Willesden Relief lines)	0	12	2	59	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD167	WLL	Mitre Bridge Jn – West London Jn (Willesden)	5	67	6	19	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD167	WAW	West London Jn (Willesden) – Route Boundary (EA1360) (Acton Wells)	6	19	6	76	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD170	ACW	Route Boundary (EA1360) (Acton Canal Wharf Jn) – Willesden Jn	0	11	0	00	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD175	BPH	Bridge Street LC – Site of former Bridge Street Jn	4	56	4	29	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD175	BDN	Site of former Bridge Street Jn – Site of former Duston North Jn	0	00	0	18	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD175	NMH	Site of former Duston North Jn – Northampton South Jn	0	29	0	65	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD180	RTS	Rugby Trent Valley Jn – New Bilton	0	00	0	79	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD232	WNS	Route Boundary (LN3232) (Hinckley) – Nuneaton South Jn	2	62	0	05	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD232	WNS	Limit of Electrification (Down direction) – Nuneaton South Jn	0	39	0	05	N	N	N	N	N	N	N	
London-North-Western-South	0659	MD232	WNS	Nuneaton South Jn – Nuneaton South Change of ELR	0	05	0	00	N	N	N	N	N	N	N	
