Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	156	158	Notes
Scotland	0998	SC145	MLG1	Fort William – Change of ELR	0	05	1	27	N	N	N	Y	Y	Y	N	
Scotland	0998	SC145	MLG2	Change of ELR – Mallaig	0	00	39	39	N	N	N	Y	Y	Y	N	
Scotland	0998	SC147	ECM8	Route Boundary (LN600) (Heaton South Jn) – Prestonpans Jn	69	67	9	67	Y	Y	Y	Y	Y	Y	Y	
Scotland	0998	SC147	ECM8	Prestonpans Jn – Calton South Tunnel	9	67	0	29	Y	Y	Y	Y	Y	Y	Y	
Scotland	0998	SC147	ECM9	Calton South Tunnel – Waverley East End	0	29	0	21	Y	Y	Y	Y	Y	Y	Y	
Scotland	0998	SC147	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	EGM4	Edinburgh Waverley – Waverley West End (South Lines)	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	ECN1	Edinburgh Waverley – Waverley West End (North Lines)	0	00	0	15	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	EGM3	Waverley West End – Haymarket (South Lines)	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	ECN2	Waverley West End – Haymarket (North Lines)	0	15	1	19	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	EGM2	Haymarket – Haymarket East Jn (South Lines)	46	02	45	72	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	ECN2	Haymarket – Haymarket East Jn (North Lines)	1	19	1	29	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	EGM2	Haymarket East Jn – Haymarket Central Jn (South Lines)	45	72	45	35	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	ECN2	Haymarket East Jn – Haymarket Central Jn (North Lines)	1	29	1	66	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	EGM2	Haymarket Central Jn – Haymarket West Jn (South Lines)	45	35	44	73	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC147	ECN2	Haymarket Central Jn – Haymarket West Jn (North Lines)	1	66	2	41	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC149	NBK	North Berwick – Drem Jn	22	22	18	15	N	N	N	Y	Y	Y	Y	
Scotland	0998	SC151	LHS1	Portobello – Leith South Yard (Goods Line)	0	00	2	20	N	N	N	N	N	N	N	
Scotland	0998	SC153	CPH	Craigentinny – Powderhall (Goods Line)	0	00	1	78	N	N	N	N	N	N	N	
Scotland	0998	SC155	MHL1	Monktonhall Jn – Change of ELR	0	11	5	60	N	N	N	N	N	N	N	
