Scotland	1007	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	314	318	320/3	320/4	322	325	Notes
Scotland	1007	SC136	HYD	Hyndland North Jn	Hyndland West Jn	Hyndland North Jn – Hyndland West Jn	0	00	0	16	N	N	N	Y	Y	H	
Scotland	1007	SC141	WHL	Craigendoran Jn	Crianlarich Jn	Craigendoran Jn – Crianlarich Jn	0	01	36	30	N	N	N	N	N	N	
Scotland	1007	SC141	WHL	Crianlarich Jn	Fort William	Crianlarich Jn – Fort William	36	30	99	37	N	N	N	N	N	N	
Scotland	1007	SC143	OBN1	Crianlarich Jn	Lower Crianlarich GF	Crianlarich Jn – Lower Crianlarich GF	0	00	0	44	N	N	N	N	N	N	
Scotland	1007	SC143	OBN2	Lower Crianlarich GF	Inverhaggernie No.1 LC	Lower Crianlarich GF – Inverhaggernie No.1 LC	30	23	31	00	N	N	N	N	N	N	
Scotland	1007	SC143	OBN2	Inverhaggernie No.1 LC	Oban	Inverhaggernie No.1 LC – Oban	31	00	71	44	N	N	N	N	N	N	
Scotland	1007	SC145	MLG1	Fort William	Change of ELR	Fort William – Change of ELR	0	05	1	27	N	N	N	N	N	N	
Scotland	1007	SC145	MLG2	Change of ELR	Mallaig	Change of ELR – Mallaig	0	00	39	39	N	N	N	N	N	N	
Scotland	1007	SC147	ECM8	Route Boundary (LN600) (Heaton South Jn)	Prestonpans Jn	Route Boundary (LN600) (Heaton South Jn) – Prestonpans Jn	54	50	9	67	Y	Y	Y	R1	Y	Y	R1 Prohibited between Route Boundary (LN600) and Dunbar
Scotland	1007	SC147	ECM8	Prestonpans Jn	Calton South Tunnel	Prestonpans Jn – Calton South Tunnel	9	67	0	29	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	ECM9	Calton South Tunnel	Waverley East End	Calton South Tunnel – Waverley East End	0	29	0	21	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	ECM9	Waverley East End	Edinburgh Waverley	Waverley East End – Edinburgh Waverley	0	21	0	00	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	EGM4	Edinburgh Waverley	Waverley West End (South Lines)	Edinburgh Waverley – Waverley West End (South Lines)	0	00	0	15	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	ECN1	Edinburgh Waverley	Waverley West End (North Lines)	Edinburgh Waverley – Waverley West End (North Lines)	0	00	0	15	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	EGM3	Waverley West End	Haymarket (South Lines)	Waverley West End – Haymarket (South Lines)	0	15	1	19	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	ECN2	Waverley West End	Haymarket (North Lines)	Waverley West End – Haymarket (North Lines)	0	15	1	19	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	EGM2	Haymarket	Haymarket East Jn (South Lines)	Haymarket – Haymarket East Jn (South Lines)	46	02	45	72	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	ECN2	Haymarket	Haymarket East Jn (North Lines)	Haymarket – Haymarket East Jn (North Lines)	1	19	1	29	Y	Y	Y	Y	Y	Y	
Scotland	1007	SC147	EGM2	Haymarket East Jn	Haymarket Central Jn (South Lines)	Haymarket East Jn – Haymarket Central Jn (South Lines)	45	72	45	35	Y	Y	Y	Y	Y	H	
Scotland	1007	SC147	ECN2	Haymarket East Jn	Haymarket Central Jn (North Lines)	Haymarket East Jn – Haymarket Central Jn (North Lines)	1	29	1	66	Y	Y	Y	Y	Y	H	
