Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	314	318	320/3	320/4	322	325	Notes
Scotland	1025	SC147	EGM2	Haymarket Central Jn – Haymarket West Jn (South Lines)	45	35	44	73	Y	Y	Y	N	Y	H	
Scotland	1025	SC147	ECN2	Haymarket Central Jn – Haymarket West Jn (North Lines)	1	66	2	41	Y	Y	Y	N	Y	H	
Scotland	1025	SC149	NBK	North Berwick – Drem Jn	22	22	18	15	Y	Y	Y	Y	Y	H	
Scotland	1025	SC151	LHS1	Portobello – Leith South Yard (Goods Line)	0	00	2	20	N	N	N	N	N	N	
Scotland	1025	SC153	CPH	Craigentinny – Powderhall (Goods Line)	0	00	1	78	N	N	N	N	N	N	
Scotland	1025	SC155	MHL1	Monktonhall Jn – Change of ELR	0	11	5	60	N	N	N	N	N	N	
Scotland	1025	SC155	MHL2	Change of ELR – Millerhill East Jn	1	40	0	28	N	N	N	N	N	N	
Scotland	1025	SC155	MHL3	Millerhill East Jn – Millerhill Yard (Goods Line)	0	00	0	19	N	N	N	N	N	N	
Scotland	1025	SC157	MLE	Millerhill South Jn – Millerhill East Jn (Goods Line)	0	09	0	28	N	N	N	N	N	N	
Scotland	1025	SC159	NDE2	Millerhill West Jn – Millerhill South Jn / Millerhill Yard	6	52	5	72	N	N	N	N	N	N	
Scotland	1025	SC161	NDE1	Millerhill Yard – Junction with Niddrie West Line	5	52	3	36	N	N	N	N	R1	H	R1 Prohibited Newcraighall turnback siding
Scotland	1025	SC161	SUB1	Junction with Niddrie West Line – Portobello	3	36	3	30	N	N	N	N	Y	H	
Scotland	1025	SC161	MHL4	Newcraighall East Jn – Network Rail / Abellio Scotrail Boundary	00	00	00	08	N	N	N	N	N	N	
Scotland	1025	SC163	SUB1	Portobello – Change of ELR	3	30	4	00	N	N	N	N	N	H	
Scotland	1025	SC163	SUB2	Change of ELR – Niddrie West	6	69	6	30	N	N	N	N	N	H	
Scotland	1025	SC164	NNS	Newcraighall North Jn – Newcraighall South Jn	4	63	5	02	N	N	N	N	N	N	
Scotland	1025	SC164	SBO	Newcraighall South Jn – Tweedbank	5	02	35	34	N	N	N	N	N	N	
Scotland	1025	SC165	MHY	Niddrie South Jn – Niddrie West Jn	7	06	6	30	N	N	N	N	N	H	
Scotland	1025	SC165	SUB2	Niddrie West Jn – Gorgie Jn	6	30	0	45	N	N	N	N	N	H	
Scotland	1025	SC165	GGE	Gorgie Jn – Haymarket West Jn	0	00	0	41	N	N	N	N	N	H	
Scotland	1025	SC167	CKT	Craiglockhart Jn – Slateford Jn	0	00	0	48	N	N	N	N	N	H	
Scotland	1025	SC169	SUB2	Gorgie Jn – Haymarket Central Jn	0	45	0	11	N	N	N	N	N	H	
