Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	60	66	67	68	70	73	97/3	Notes
Scotland	1099	SC047	LFS1	Change of ELR – Larkfield Jn	101	17	101	01	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC049	TSS	Muirhouse Central Jn – Terminus Jn	0	04	0	40	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC051	CTC	Muirhouse Central Jn – Cathcart North Jn (via Cathcart)	5	19	1	63	3	N	R1	N	N	R1	R1	R1	R1 Route prohibited unless authorised by the Infrastructure Manager's structures engineer
Scotland	1099	SC051	CTC	Cathcart North Jn – Muirhouse North Jn (via Crosshill)	1	63	0	00	7	N	Y	N	Y	Y	Y	Y	
Scotland	1099	SC053	NNH	Neilston – Cathcart West Jn	108	45	100	77	5	N	R1 R2 R3 R4 R5 R6 R7	N	N	N	N	Y	R1 Infrastructure maintenance purposes only R2 Prohibited from hauling vehicles that exceed RA5 R3 20mph maximum speed R4 Double Heading is prohibited R5 10mph over bridge 120 (104m 49ch) R6 10mph over bridge 128 (103m 26ch) R7 10mph over bridge 137 (101m 23ch)
Scotland	1099	SC055	WCM2	Newton, Hamilton Jn – Newton Kirkhill Jn	95	53	95	77	10	N	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC055	KHL	Newton Kirkhill Jn – Cathcart West Jn	95	77	100	77	7	N	Y	N	Y	Y	Y	Y	
Scotland	1099	SC057	CNC	Cathcart East Jn – Cathcart North Jn	0	45	0	00	7	N	Y	N	Y	Y	Y	Y	
Scotland	1099	SC059	WCM2	Glasgow Central – Bridge St Jn	102	27	101	53	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC059	AYR1	Bridge St Jn – Cook St	0	00	0	19	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC059	LYE	Cook St – High St Line (Smithy Lye through line)	0	00	0	44	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC059	AYR1	Cook St – Shields Jn	0	19	1	00	8	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC059	AYR1	Shields Jn – Change of ELR (Paisley Gilmour Street)	1	00	6	53	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC059	AYR2	Change of ELR (Paisley Gilmour Street) – Change of ELR (Brown Street crossover)	6	73	7	00	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC059	AYR3	Change of ELR (Brown Street crossover) – Change of ELR (Dalry)	7	00	23	00	10	Y	Y	Y	Y	Y	Y	Y	
Scotland	1099	SC059	AYR4	Change of ELR (Dalry) – Change of ELR (Barassie Jn)	23	00	33	08	10	Y	Y	Y	Y	Y	Y	Y	
