Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
Scotland	1122	SC085	AYH1	Ayr Harbour – Newton Jn (Goods Line)	0	17	0	00	10	N	N	Y	N	N	N	
Scotland	1122	SC087	ANN	Newton Jn – Mauchline (Goods Line)	39	42	50	16	10	N	N	Y	N	N	N	
Scotland	1122	SC089	KCH1	Annbank – Change of ELR	43	52	48	73	10	N	N	Y	N	N	N	
Scotland	1122	SC089	KCH2	Change of ELR – Killoch Colliery (Goods Line)	0	00	3	43	10	N	N	Y	N	N	N	
Scotland	1122	SC091	WAT	Dalrymple Jn – Chalmerston (Goods Line)	43	53	52	70	8	N	N	Y	N	N	N	
Scotland	1122	SC093	SCM1	Motherwell – Mossend South	89	51	91	08	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC093	SCM2	Mossend South – Whifflet North Jn	91	08	94	05	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC093	SCM3	Whifflet North Jn – Gartsherrie South Jn (Limit of OLE)	94	05	95	64	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC093	SCM3	Gartsherrie South Jn (Limit of OLE) – Greenhill Lower Jn	95	64	106	63	10	Y	Y	Y	Y	N	Y	
Scotland	1122	SC097	SYE	Whifflet South Jn – Sunnyside Jn (Goods Line)	9	63	8	43	10	N	N	Y	N	N	Y	
Scotland	1122	SC099	RSL2	Whifflet North Jn – Change of ELR	0	00	0	34	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC099	RSL1	Change of ELR – Langloan Jn	6	59	6	34	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC099	RCB	Langloan Jn – Rutherglen East Jn	6	34	0	04	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC101	RCB	Coatbridge Jn – Langloan Jn	7	03	6	34	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC103	CBD1	Garnqueen North Jn – Gartcosh Jn	1	33	0	00	10	N	N	Y	N	N	N	
Scotland	1122	SC103	CBD2	Gartcosh Jn – Change of ELR	97	09	103	41	10	N	N	Y	N	N	N	
Scotland	1122	SC103	SGN	Change of ELR – Cowlairs West Jn	0	61	-0	20	10	Y	Y	Y	N	N	Y	
Scotland	1122	SC105	GHE	Gartsherrie South Jn – Gartcosh Jn	95	64	97	06	10	R1	R1	Y	R1	N	N	R1 Prohibited between limit of electrification (96m 09ch) and Gartcosh Jn
Scotland	1122	SC106	PNS	Sighthill West Jn – Cowlairs South Jn (Chord Line)	0	30	0	00	8	Y	Y	Y	Y	N	Y	
Scotland	1122	SC107	ECM9	Waverley East End – Edinburgh Waverley	0	21	0	00	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC107	EGM4	Edinburgh Waverley – Waverley West End (South Lines)	0	00	0	15	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC107	ECN1	Edinburgh Waverley – Waverley West End (North Lines)	0	00	0	15	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC107	EGM3	Waverley West End – Haymarket (South Lines)	0	15	1	19	10	Y	Y	Y	Y	Y	Y	
Scotland	1122	SC107	ECN2	Waverley West End – Haymarket (North Lines)	0	15	1	19	10	Y	Y	Y	Y	Y	Y	
