Scotland	1136	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	314	318	320/3	320/4	322	325	Notes
Scotland	1136	SC065	GOU2	Change of ELR	Bishopton	Change of ELR – Bishopton	107	70	112	60	Y	Y	Y	Y	Y	H	
Scotland	1136	SC065	GOU2	Bishopton	Gourock	Bishopton – Gourock	112	60	126	58	Y	Y	Y	Y	Y	H	
Scotland	1136	SC067	WYS	Wemyss Bay Jn	Wemyss Bay	Wemyss Bay Jn – Wemyss Bay	0	00	10	03	Y	Y	Y	Y	Y	H	
Scotland	1136	SC073	LGS1	Kilwinning Jn	Change of ELR	Kilwinning Jn – Change of ELR	25	65	30	44	Y	Y	Y	Y	Y	H	
Scotland	1136	SC073	LGS2	Change of ELR	Fairlie High Siding	Change of ELR – Fairlie High Siding	30	44	38	69	Y	Y	Y	Y	Y	H	
Scotland	1136	SC073	LGS2	Fairlie High Siding	Largs	Fairlie High Siding – Largs	38	69	42	07	Y	Y	Y	Y	Y	H	
Scotland	1136	SC077	ARH	Ardrossan South Beach	Ardrossan Harbour	Ardrossan South Beach – Ardrossan Harbour	30	44	31	35	Y	Y	Y	Y	Y	H	
Scotland	1136	SC079	HUN	Hunterston	Hunterston Low Level Sdgs (Goods Line)	Hunterston – Hunterston Low Level Sdgs (Goods Line)	0	00	0	36	N	N	N	N	N	N	
Scotland	1136	SC081	BYL	Byrehill Jn	Dubbs Jn	Byrehill Jn – Dubbs Jn	0	60	0	00	Y	Y	Y	N	Y	H	
Scotland	1136	SC085	AYH1	Ayr Harbour	Newton Jn (Goods Line)	Ayr Harbour – Newton Jn (Goods Line)	0	17	0	00	N	N	N	N	N	N	
Scotland	1136	SC087	ANN	Newton Jn	Mauchline (Goods Line)	Newton Jn – Mauchline (Goods Line)	39	42	50	16	N	N	N	N	N	EH	
Scotland	1136	SC089	KCH1	Annbank	Change of ELR	Annbank – Change of ELR	43	52	48	73	N	N	N	N	N	N	
Scotland	1136	SC089	KCH2	Change of ELR	Killoch Colliery (Goods Line)	Change of ELR – Killoch Colliery (Goods Line)	0	00	3	43	N	N	N	N	N	N	
Scotland	1136	SC091	WAT	Dalrymple Jn	Chalmerston (Goods Line)	Dalrymple Jn – Chalmerston (Goods Line)	43	53	52	70	N	N	N	N	N	N	
Scotland	1136	SC093	SCM1	Motherwell	Mossend South	Motherwell – Mossend South	89	51	91	08	Y	Y	Y	Y	Y	Y	
Scotland	1136	SC093	SCM2	Mossend South	Whifflet North Jn	Mossend South – Whifflet North Jn	91	08	94	05	Y	Y	Y	Y	Y	N	
Scotland	1136	SC093	SCM3	Whifflet North Jn	Gartsherrie South Jn (Limit of OLE)	Whifflet North Jn – Gartsherrie South Jn (Limit of OLE)	94	05	95	64	Y	Y	Y	Y	Y	H	
Scotland	1136	SC093	SCM3	Gartsherrie South Jn (Limit of OLE)	Greenhill Lower Jn	Gartsherrie South Jn (Limit of OLE) – Greenhill Lower Jn	95	64	106	63	R1	R1	R1	R1	N	H R2	R1 Prohibited between Limit of Electrification (Cumbernauld) and Greenhill Lower Jn R2 15mph Coatbridge Central Down platform
Scotland	1136	SC097	SYE	Whifflet South Jn	Sunnyside Jn (Goods Line)	Whifflet South Jn – Sunnyside Jn (Goods Line)	9	63	8	43	R1	R1	R1	Y	R1	N	R1 15mph maximum speed
Scotland	1136	SC099	RSL2	Whifflet North Jn	Change of ELR	Whifflet North Jn – Change of ELR	0	00	0	34	Y	Y	Y	Y	N	H	
Scotland	1136	SC099	RSL1	Change of ELR	Langloan Jn	Change of ELR – Langloan Jn	6	59	6	34	Y	Y	Y	Y	N	H	
Scotland	1136	SC099	RCB	Langloan Jn	Rutherglen East Jn	Langloan Jn – Rutherglen East Jn	6	34	0	04	Y	Y	Y	Y	N	N	
Scotland	1136	SC101	RCB	Coatbridge Jn	Langloan Jn	Coatbridge Jn – Langloan Jn	7	03	6	34	Y	Y	Y	Y	N	H	
