Route	page	Line of Route	Line of Route / Sector Description	W6	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
Scotland	1145	SC193	Welsh's Bridge Jn – Rose Street Jn	Y	Y	Y	N	N	N	N	N	
Scotland	1145	SC193	Welsh's Bridge Jn – Inverness Harbour	Y	Y	Y	N	N	N	N	N	
Scotland	1145	SC195	Aberdeen to Elgin	Y *	Y	S1	N	N	N	N	N	S1 The following combinations are permitted: 2590 high x 2500 wide box, on KFA wagon 2770 high x 2500 wide box, on IKA wagon 2896 wide x 2500 wide box, on FLA wagon 2590 wide x 2600 wide box, on IFA wagon Safeway refrigerated box on IKA wagon All Lines
Scotland	1145	SC195	Elgin – Inverness	Y *	Y	N	N	N	N	N	N	
Scotland	1145	SC197	Kittybrewster – Waterloo Goods (Goods Line)	Y	Y	Y	N	N	N	N	N	
Scotland	1145	SC199	Keith Branch	Y	N	N	N	N	N	N	N	
Scotland	1145	SC201	Alves GF – Burghead (Goods Line)	–	–	–	–	–	–	–	–	Line Out of Use
Scotland	1145	SC203	Inverness – Wick	Y *	Y	Y	N	N	N	N	N	
Scotland	1145	SC205	Dingwall – Kyle of Lochalsh	Y *	Y	N	N	N	N	N	N	
Scotland	1145	SC207	Georgemas Junction – Thurso	Y *	Y	Y	N	N	N	N	N	
