Western-and-Wales	0689	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	121	142	143	150	153	155	156	158	159
Western-and-Wales	0689	GW190	RNJ	Route Boundary (SW210) (Reading Spur Jn)	Reading New Jn	Route Boundary (SW210) (Reading Spur Jn) – Reading New Jn	68	00	68	35	E	E	E	Y	E	E	E	E	E
Western-and-Wales	0689	GW195	RLL	Reading Southern Jn	Reading East Jn	Reading Southern Jn – Reading East Jn	35	33	35	61	N	N	N	E	N	N	N	N	N
Western-and-Wales	0689	GW200	DCL	Chester Line Jn	Route Boundary (MD401) (Heyford)	Chester Line Jn – Route Boundary (MD401) (Heyford)	53	12	75	00	E	E	E	E	E	E	E	E	E
Western-and-Wales	0689	GW220	RWC	Reading, Oxford Road Jn	Reading West Jn	Reading, Oxford Road Jn – Reading West Jn	0	43	0	02	E	E	E	Y	E	E	E	E	E
Western-and-Wales	0689	GW225	RFR	Caversham Road Jn	Oxford Road Jn	Caversham Road Jn – Oxford Road Jn	36	25	36	74	N	N	N	Y	N	N	N	Y	N
Western-and-Wales	0689	GW240	DEC	Didcot East Jn	Didcot North Jns	Didcot East Jn – Didcot North Jns	52	66	54	00	E	E	E	E	E	E	E	E	E
Western-and-Wales	0689	GW250	DWC	Foxhall Jn	Didcot West Curve Jn	Foxhall Jn – Didcot West Curve Jn	0	01	0	32	E	E	E	E	E	E	E	E	E
Western-and-Wales	0689	GW260	THA	Kennington Jn	Morris Cowley	Kennington Jn – Morris Cowley	18	45	16	04	N	N	N	N	N	N	N	N	N
Western-and-Wales	0689	GW277	OXD	Oxford North Jn	Route Boundary (MD736) (29m 25ch)	Oxford North Jn – Route Boundary (MD736) (29m 25ch)	30	09	29	25	Y	Y	Y	Y	E	E	Y	Y	Y
Western-and-Wales	0689	GW300	ABW	Abbotswood Jn	Norton Jn	Abbotswood Jn – Norton Jn	0	00	0	62	E	Y	Y	Y	Y	Y	Y	Y	Y
Western-and-Wales	0689	GW300	OWW	Norton Jn	Shrub Hill Jn	Norton Jn – Shrub Hill Jn	117	26	120	46	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW300	OWW	Shrub Hill Jn	Droitwich Spa Jn	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW300	STO	Droitwich Spa Jn	Stoke Works Jn	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW310	OWW	Wolvercot Jn	Norton Jn	Wolvercot Jn – Norton Jn	66	32	117	26	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW317	OWW	Honeybourne Stratford Line Junction	Start of branch mileage	Honeybourne Stratford Line Junction – Start of branch mileage	102	06	101	31	N	N	N	N	N	N	N	N	N
Western-and-Wales	0689	GW317	STD	Start of branch mileage	Long Marston	Start of branch mileage – Long Marston	0	00	2	70	N	N	N	N	N	N	N	N	N
Western-and-Wales	0689	GW340	WAH	Shrub Hill Jn	Henwick SB (Branch Single)	Shrub Hill Jn – Henwick SB (Branch Single)	120	46	121	65	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW340	WAH	Henwick SB	Shelwick Jn	Henwick SB – Shelwick Jn	121	65	148	11	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW350	BLW	Worcester Tunnel Jn	Site of former Rainbow Hill Jn Change of ELR	Worcester Tunnel Jn – Site of former Rainbow Hill Jn Change of ELR	0	30	0	00	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW350	WAH	Site of former Rainbow Hill Jn Change of ELR	Henwick SB (Droitwich Single)	Site of former Rainbow Hill Jn Change of ELR – Henwick SB (Droitwich Single)	120	64	121	65	E	Y	Y	Y	Y	E	E	Y	Y
Western-and-Wales	0689	GW370	OWW	Droitwich Spa	Route Boundary (MD430) (Kidderminster)	Droitwich Spa – Route Boundary (MD430) (Kidderminster)	126	21	130	40	E	Y	Y	Y	Y	E	E	Y	Y
