Western-and-Wales	0790	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes
Western-and-Wales	0790	GW185	Bourne End to Marlow	Bourne End	Marlow	6	6	6				
Western-and-Wales	0790	GW187	Twyford to Henley-on-Thames	Twyford	Henley-on-Thames	4	8B	8B	See Local Instructions for restrictions			
Western-and-Wales	0790	GW190	Reading Spur Jn to Reading New	Reading Spur Jn	Reading New	8	10	10				
Western-and-Wales	0790	GW200	Didcot to Heyford	Didcot	Heyford	8	10	10				
Western-and-Wales	0790	GW220	Oxford Road Jn to Reading West Jn	Oxford Road Jn	Reading West Jn	8	10	10				
Western-and-Wales	0790	GW240	Didcot East Jn to Didcot North Jn via avoiding line	Didcot East Jn	Didcot North Jn via avoiding line	8	10	10				
Western-and-Wales	0790	GW250	Foxhall Jn to Didcot West Curve Jn	Foxhall Jn	Didcot West Curve Jn	8	10	10				
Western-and-Wales	0790	GW260	Kennington Jn to Morris Cowley	Kennington Jn	Morris Cowley	7	10	10				
Western-and-Wales	0790	GW277	Oxford North Jn – Oxford Parkway (Excl)	Oxford North Jn	Oxford Parkway (Excl)	7	10	10				
Western-and-Wales	0790	GW300	Abbotswood Jn to Stoke Wks Jn via Woster SH	Abbotswood Jn	Stoke Wks Jn via Woster SH	8	10	10				
Western-and-Wales	0790	GW310	Wolvercot Jn to Norton Jn	Wolvercot Jn	Norton Jn	7	8B	8B				
Western-and-Wales	0790	GW317	Honeybourne GF to Long Marston	Honeybourne GF	Long Marston	7	8B	8B				
Western-and-Wales	0790	GW340	Worcester SH to Shelwick Jn	Worcester SH	Shelwick Jn	7	9B	9B	Over Bridge at 121m 64ch (Worcester Foregate - Henwick LC) Over Bridge at 147m 24ch (Ledbury - Shelwick Jn)	20 MPH 45 MPH	20 MPH 45 MPH	
Western-and-Wales	0790	GW350	Worcester Tnl Jn to Henwick	Worcester Tnl Jn	Henwick	7	8B	8B				
Western-and-Wales	0790	GW370	Droitwich Spa to Cutnal Green	Droitwich Spa	Cutnal Green	8	10	10				
Western-and-Wales	0790	GW400	Barnt Green to Westerleigh Jn	Barnt Green	Westerleigh Jn	8	10	10				
Western-and-Wales	0790	GW425	Berkeley Road Jn to Sharpness	Berkeley Road Jn	Sharpness	6	9B	9B				
Western-and-Wales	0790	GW430	Yate Middle Jn to Tytherington	Yate Middle Jn	Tytherington	8	10	10				
Western-and-Wales	0790	GW440	Yate South Jn to Westerleigh Terms	Yate South Jn	Westerleigh Terms	8	10	10				
Western-and-Wales	0790	GW450	Stoke Gifford Jn to Bristol East Jn	Stoke Gifford Jn	Bristol East Jn	8	10	10				
Western-and-Wales	0790	GW4501	Stoke Gifford Jn to Avonmouth BBHT	Stoke Gifford Jn	Avonmouth BBHT	7	10	10	THROUGHOUT	35 MPH	35 MPH	
Western-and-Wales	0790	GW451	Filton Jn to Filton West Jn	Filton Jn	Filton West Jn	7	10	10				
