Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	332	345	360	387	Notes
Western	0747	GW730	HDC	Site of former Rotherwas Jn – Site of former Red Hill Jn	0	00	1	74	H	N	N	N	N	
Western	0747	GW730	HNL1	Site of former Red Hill Jn – Maindee West Jn	1	74	41	66	H	N	N	N	N	
Western	0747	GW731	WSJ2	Route Boundary (MD801) (Madeley Jn) – Abbey Foregate Jn	170	46	171	15	H	N	N	N	N	
Western	0747	GW731	WSJ2	Abbey Foregate Jn – Crewe Jn	171	15	171	57	H	N	N	N	N	
Western	0747	GW731	WSJ2	Crewe Jn – Route Boundary (NW3005) (Wrexham General)	171	57	199	00	H	N	N	N	N	
Western	0747	GW732	AFE	Abbey Foregate Jn – English Bridge Jn (Loop Lines)	0	25	0	00	H	N	N	N	N	
Western	0747	GW733	SBA1/ 2	Sutton Bridge Jn – Welshpool	0	00	33	70	H	N	N	N	N	
Western	0747	GW733	SBA2	Welshpool – Aberystwyth	33	70	95	60	H	N	N	N	N	
Western	0747	GW734	DJP	Dovey Jn – Pwllheli	78	60	132	70	H	N	N	N	N	
Western	0747	GW735	SYC	Crewe Jn – Route Boundary (NW1007) (Limit of Electrification)	32	29	2	60	H	N	N	N	N	
Western	0747	GW736	GNQ1	Gobowen South – Commencement of single line board	0	00	0	16	N	N	N	N	N	
Western	0747	GW740	MAI	Maindee East Jn – Maindee North Jn	41	65	41	33	H	N	N	N	N	
Western	0747	GW750	BNC	Hereford Yard Jn – Brecon Curve Jn	0	00	0	19	N	N	N	N	N	
Western	0747	GW750	HNL2	Brecon Curve Jn – MEB Siding	149	44	149	78	N	N	N	N	N	
Western	0747	GW770	EBW	Ebbw Vale Parkway – Site of Former Aberbeeg Jn	18	45	14	23	H	N	N	N	N	
Western	0747	GW770	WVL	Site of Former Aberbeeg Jn – Park Jn	14	23	1	02	H	N	N	N	N	
Western	0747	GW770	GAE	Park Jn – Gaer Jn (Western Valley Line)	160	24	159	33	N	N	N	N	N	
Western	0747	GW773	BJR	Machen Quarry – Site of Former Bassaleg Jn	4	69	0	00	N	N	N	N	N	
Western	0747	GW773	WVL	Site of Former Bassaleg Jn – Park Jn (Machen Branch)	2	05	1	10	N	N	N	N	N	
Western	0747	GW780	WVL	Park Jn – Park Jn SB	1	02	0	74	H	N	N	N	N	
Western	0747	GW780	NWN	Park Jn SB – Ebbw Jn	0	54	0	00	H	N	N	N	N	
Western	0747	GW784	NLL	Alexandra Dock Jn – Network Rail Boundary (Newport Docks)	159	60	160	27	N	N	N	N	N	
Western	0747	GW790	ROC	Pengam Jn – Change of ELR	168	20	168	61	N	N	N	N	N	
Western	0747	GW790	ROA	Change of ELR – Network Rail Boundary (ABP Cardiff Docks)	3	41	4	54	N	N	N	N	N	
