Western	0803	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes
Western	0803	GW454	Severn Beach to Narroways Hill	Severn Beach	Narroways Hill	7	8B	8B	Severn Beach to 5m 06ch Over Bridge at 3m 06ch (Cheltenham Road Viaduct) 2m 10ch through Narroways Hill Jn	25 MPH 05 MPH 15 MPH	25 MPH 05 MPH 15 MPH		Applies to all wagons empty or loaded & locomotives
Western	0803	GW480	Swindon to Standish Jn	Swindon	Standish Jn	8	10	10				
Western	0803	GW490	Gloucester Yard Jn to Horton Road Jn	Gloucester Yard Jn	Horton Road Jn	8	10	10				
Western	0803	GW500	Reading to Westbury via Newbury	Reading	Westbury via Newbury	8	10	10				
Western	0803	GW500	Westbury to Cogload Jn via Westbury & Frome avoiding Line	Westbury	Cogload Jn via Westbury & Frome avoiding Line	8	10	10	Over Bridge at 117m 60ch (Blatchbridge Jn - East Somerset)	20 MPH	20 MPH	
Western	0803	GW5001	Beechgrove GF to Westbury South Jn	Beechgrove GF	Westbury South Jn	8	10	10				
Western	0803	GW510	Westbury North Jn to Bathampton Jn	Westbury North Jn	Bathampton Jn	8	10	10				
Western	0803	GW520	Westbury East Loop Jn to Hawkeridge Jn	Westbury East Loop Jn	Hawkeridge Jn	8	10	10				
Western	0803	GW523	Thingley Jn to Bradford Jn	Thingley Jn	Bradford Jn	8	10	10				
Western	0803	GW528	North Somerset Jn to Bristol West Jn via SPM	North Somerset Jn	Bristol West Jn via SPM	8	10B	10B				
Western	0803	GW530	North Somerset Jn to Dr Day’s Jn	North Somerset Jn	Dr Day’s Jn	8	10	10				
Western	0803	GW540	Filton Jn to Patchway Jn	Filton Jn	Patchway Jn	8	10	10	Over Bridge at 05m 22 ½ch (Patchway - Filton Jn)	20 MPH	20 MPH	
Western	0803	GW5401	Filton West Jn to Patchway Jn	Filton West Jn	Patchway Jn	7	10	10				
Western	0803	GW548	Parson Street Jn to Portbury	Parson Street Jn	Portbury	8	10	10				
Western	0803	GW560	Heywood Rd Jn to Fairwood Jn via Westbury	Heywood Rd Jn	Fairwood Jn via Westbury	8	10	10					Westbury Down reception line contains a curve with a radius of 86 metres between signal W202 and points 858. All vehicles using this line must be capable of negotiating such a curve
Western	0803	GW570	Clink Road Jn to Blatchbridge Jn via Frome	Clink Road Jn	Blatchbridge Jn via Frome	8	10	10				
Western	0803	GW572	Frome North Jn to Whatley Quarry	Frome North Jn	Whatley Quarry	6	10	10				
Western	0803	GW580	East Somerset Jn to Cranmore	East Somerset Jn	Cranmore	8	10	10				
Western	0803	GW600	Wootton Bassett Jn to Pilning	Wootton Bassett Jn	Pilning	8	10	10				
