Route	page	Line of Route	Line of Route / Sector Description	RA	2 Axled (MAX RA)	4 Axled (MAX RA)	Location of Speed restriction	Up	Down	Notes
Western	0806	GW185	Bourne End to Marlow	6	6	6				
Western	0806	GW187	Twyford to Henley-on-Thames	4	8B	8B	See Local Instructions for restrictions			
Western	0806	GW190	Reading Spur Jn to Reading New	8	10	10				
Western	0806	GW200	Didcot to Heyford	8	10	10				
Western	0806	GW220	Oxford Road Jn to Reading West Jn	8	10	10				
Western	0806	GW240	Didcot East Jn to Didcot North Jn via avoiding line	8	10	10				
Western	0806	GW250	Foxhall Jn to Didcot West Curve Jn	8	10	10				
Western	0806	GW260	Kennington Jn to Morris Cowley	7	10	10				
Western	0806	GW277	Oxford North Jn – Oxford Parkway (Excl)	7	10	10				
Western	0806	GW310	Wolvercot Jn to Norton Jn	7	8B	8B				
Western	0806	GW317	Honeybourne GF to Long Marston	7	8B	8B				
Western	0806	GW400	Barnt Green to Westerleigh Jn	8	10	10				
Western	0806	GW425	Berkeley Road Jn to Sharpness	6	9B	9B				
Western	0806	GW430	Yate Middle Jn to Tytherington	8	10	10				
Western	0806	GW440	Yate South Jn to Westerleigh Terms	8	10	10				
Western	0806	GW450	Stoke Gifford Jn to Bristol East Jn	8	10	10				
Western	0806	GW4501	Stoke Gifford Jn to Avonmouth BBHT	7	10	10	THROUGHOUT	35 MPH	35 MPH	
Western	0806	GW451	Filton Jn to Filton West Jn	7	10	10				
