Western	0814	Line of route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
Western	0814					W6a	W7	W8	W9	W9Plus	W10	W10A	W12
Western	0814	GW260	Kennington Jn – Morris Cowley	Kennington Jn	Morris Cowley	Y	Y	Y	N	N	N	N	N
Western	0814	GW277	Oxford North Jn – Route Boundary (MD736) 29m 25ch	Oxford North Jn	Route Boundary (MD736) 29m 25ch	Y	Y	Y	Y	N	Y	N	Y
Western	0814	GW310	Wolvercot Jn – Norton Jn	Wolvercot Jn	Norton Jn	Y *	N	N	N	N	N	N	N
Western	0814	GW317	Honeybourne – Long Marston	Honeybourne	Long Marston	Y	N	N	N	N	N	N	N
Western	0814	GW340	Worcester Shrub Hill – Shelwick Jn	Worcester Shrub Hill	Shelwick Jn	S1 *	N	N	N	N	N	N	N	S1 Freight vehicles conforming to the W6a profile are permitted, EXCEPT IFA-S IFA-U wagons
Western	0814	GW350	Worcester Tunnel Jn – Henwick	Worcester Tunnel Jn	Henwick	Y	N	N	N	N	N	N	N
Western	0814	GW370	Droitwich Spa – Cutnall Green	Droitwich Spa	Cutnall Green	Y	Y	Y	N	N	N	N	N
Western	0814	GW401	Route Boundary (MD306) (Ashchurch) – Standish Jn	Route Boundary (MD306) (Ashchurch)	Standish Jn	Y *	Y	Y	N	N	N	N	N
Western	0814	GW401	Standish Jn – Westerleigh Jn	Standish Jn	Westerleigh Jn	Y	Y	Y	N	N	N	N	N
Western	0814	GW425	Berkeley Road Jn – Sharpness	Berkeley Road Jn	Sharpness	Y	N	N	N	N	N	N	N
Western	0814	GW430	Yate Middle Jn – Tytherington	Yate Middle Jn	Tytherington	Y	N	N	N	N	N	N	N
Western	0814	GW440	Yate South Jn – Westerleigh	Yate South Jn	Westerleigh	Y	Y	Y	N	N	N	N	N
Western	0814	GW450	Stoke Gifford Jn – Bristol East Jn	Stoke Gifford Jn	Bristol East Jn	Y	Y	Y	N	N	N	N	N
Western	0814	GW4501	Stoke Gifford Jn – Avonmouth (Bristol Bulk Handling Terminal)	Stoke Gifford Jn	Avonmouth (Bristol Bulk Handling Terminal)	Y *	Y	Y	N	N	N	N	N
Western	0814	GW451	Filton Jn No 2 – Filton West Jn (Filton Chord)	Filton Jn No 2	Filton West Jn (Filton Chord)	Y	Y	Y	N	N	N	N	N
Western	0814	GW454	Severn Beach – Narroways Hill Jn	Severn Beach	Narroways Hill Jn	Y *	N	N	N	N	N	N	N
