Western-and-Wales	0707	GW105	MLN1	Bristol East Jn	Bristol West Jn	Bristol East Jn – Bristol West Jn	118	02	118	58	R1	Y	N	R2 R3 R4 R5	N	N	R6	R6	R6	R6	N	R1 Prohibited Bristol Temple Meads platforms 1 and 2 and adjacent sidings R2 Prohibited Bristol Temple Meads platforms 1, 2, 11 & 12 R3 Prohibited Bristol Temple Meads platforms 5 and 6 with air bags deflated/ failed secondary suspension R4 Prohibited Bristol Temple Meads Dock, Parcels and Fish platforms R5 Prohibited West Carriage Sidings R6 Prohibited Bristol Temple Meads platform 2 and adjacent sidings
Western-and-Wales	0707	GW105	MLN1	Bristol West Jn	Parson Street Jn	Bristol West Jn – Parson Street Jn	118	58	120	28	R1	Y	N	N	N	N	Y	Y	Y	Y	N	R1 Prohibited beyond signal BL6731 and BL6733 Carriage Line and Carriage Washer Line Prohibited all other lines
Western-and-Wales	0707	GW105	MLN1	Parson Street Jn	Worle Jn	Parson Street Jn – Worle Jn	120	28	135	11	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW105	MLN1	Worle Jn	Uphill Jn (direct)	Worle Jn – Uphill Jn (direct)	135	11	138	04	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW105	MLN1	Uphill Jn	Fordgate	Uphill Jn – Fordgate	138	04	154	12	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW107	WSM	Worle Jn	Uphill Jn via Weston-Super-Mare	Worle Jn – Uphill Jn via Weston-Super-Mare	135	11	139	05	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Fordgate	Cogload Jn (Up)	Fordgate – Cogload Jn (Up)	154	12	158	23	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Cogload Jn (Up)	Norton Fitzwarren Jn (Connection - West Somerset Railway)	Cogload Jn (Up) – Norton Fitzwarren Jn (Connection - West Somerset Railway)	158	23	164	60	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Norton Fitzwarren Jn (Connection - West Somerset Railway)	Cowley Bridge Jn	Norton Fitzwarren Jn (Connection - West Somerset Railway) – Cowley Bridge Jn	164	40	192	52	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Cowley Bridge Jn	Exeter St Davids Jn	Cowley Bridge Jn – Exeter St Davids Jn	192	52	194	00	N	Y	N	N	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Exeter St Davids Jn	Newton Abbot East Jn	Exeter St Davids Jn – Newton Abbot East Jn	194	00	213	75	N	Y	N	E	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Newton Abbot East Jn	Newton Abbot West Jn	Newton Abbot East Jn – Newton Abbot West Jn	213	75	214	43	N	R1	N	E	N	N	Y	Y	Y	Y	N	R1 20mph through Newton Abbot platform 2
Western-and-Wales	0707	GW108	MLN1	Newton Abbot West Jn	Tavistock Jn Yard	Newton Abbot West Jn – Tavistock Jn Yard	214	43	242	55	N	Y	N	E	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Tavistock Jn Yard	Laira Jn	Tavistock Jn Yard – Laira Jn	242	55	243	67	N	Y	N	E	N	N	Y	Y	Y	Y	N	
Western-and-Wales	0707	GW108	MLN1	Laira Jn	Lipson Jn	Laira Jn – Lipson Jn	243	67	244	35	N	Y	N	E	N	N	Y	Y	Y	Y	N	
