Western-and-Wales	0745	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 MOD	MK3 DVT	MK3 DVT MOD	MK4	Notes
Western-and-Wales	0745	GW820	PTA	Site of Former Penallta Jn	Ystrad Mynach South Jn	Site of Former Penallta Jn – Ystrad Mynach South Jn	15	01	13	41	N	N	N	N	N	N	N	
Western-and-Wales	0745	GW828	CRY	Coryton	Heath Jn	Coryton – Heath Jn	2	57	0	15	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW830	CAM	Merthyr Tydfil	Abercynon Jn	Merthyr Tydfil – Abercynon Jn	24	44	16	35	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW830	CAM	Abercynon Jn	Pontypridd Jn	Abercynon Jn – Pontypridd Jn	16	35	13	04	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW830	CAM	Pontypridd Jn	Radyr Jn	Pontypridd Jn – Radyr Jn	13	04	5	23	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW830	CAM	Radyr Jn	Queen Street North Jn	Radyr Jn – Queen Street North Jn	5	23	1	17	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW830	CAM	Queen Street North Jn	Queen Street South Jn	Queen Street North Jn – Queen Street South Jn	1	17	0	66	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW830	CEJ	Queen Street South Jn	Cardiff East Jn	Queen Street South Jn – Cardiff East Jn	0	22	0	00	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW830	SWM 2	Cardiff East Jn	Cardiff West Jn	Cardiff East Jn – Cardiff West Jn	170	18	170	56	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW830	BRY	Cardiff West Jn	Barry Jn	Cardiff West Jn – Barry Jn	0	10	8	16	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW830	BRY	Barry Jn	Buffer Stops (Barry Island)	Barry Jn – Buffer Stops (Barry Island)	8	16	8	76	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW834	VON	Network Rail Boundary	Aberdare	Network Rail Boundary – Aberdare	26	62	22	34	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW834	VON/ ALK	Aberdare	Cwmbach Change of ELR	Aberdare – Cwmbach Change of ELR	22	34	20	68	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW834	ABD/ MOA	Cwmbach Change of ELR	Abercynon Jn (Including Mountain Ash Down Loop ELR MOA)	Cwmbach Change of ELR – Abercynon Jn (Including Mountain Ash Down Loop ELR MOA)	22	01	16	35	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW835	THT	End of Line	Treherbert	End of Line – Treherbert	23	69	23	54	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW835	THT	Treherbert	Pontypridd Jn	Treherbert – Pontypridd Jn	23	54	13	04	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW839	CAM	Queen Street South Jn	Cardiff Bay	Queen Street South Jn – Cardiff Bay	0	66	0	02	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW840	RAD	Radyr Jn	Leckwith Loop South Jn	Radyr Jn – Leckwith Loop South Jn	4	41	0	69	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW840	RAD	Leckwith Loop South Jn	Penarth Curve North Jn	Leckwith Loop South Jn – Penarth Curve North Jn	0	69	0	47	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW840	RAD	Penarth Curve North Jn	Radyr Branch Jn	Penarth Curve North Jn – Radyr Branch Jn	0	47	0	25	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW850	CLL	Leckwith Loop South Jn	Leckwith Loop North Jn	Leckwith Loop South Jn – Leckwith Loop North Jn	0	26	0	00	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW860	CPL	Penarth Curve North Jn	Penarth Curve South Jn	Penarth Curve North Jn – Penarth Curve South Jn	0	25	0	00	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW864	PTH	Cogan Jn	Penarth	Cogan Jn – Penarth	0	01	1	12	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW870	VOG	Barry Jn	Bridgend Bay Platform	Barry Jn – Bridgend Bay Platform	0	00	19	04	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW871	FOR	Ford Siding GF	Network Rail Boundary (Ford Works, Waterton)	Ford Siding GF – Network Rail Boundary (Ford Works, Waterton)	0	00	1	18	N	N	N	N	N	N	N	
Western-and-Wales	0745	GW874	BAL	Llynfi Jn	Tondu Jn	Llynfi Jn – Tondu Jn	0	07	2	70	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW874	BAL	Tondu Jn	Maesteg	Tondu Jn – Maesteg	2	70	8	06	Y	Y	N	N	N	N	N	
Western-and-Wales	0745	GW877	POR	Tondu Jn	Cefn Jn	Tondu Jn – Cefn Jn	0	00	2	43	Y	Y	Y	N	N	N	N	
Western-and-Wales	0745	GW877	OVE	Cefn Jn	Margam Abbey Works East Jn	Cefn Jn – Margam Abbey Works East Jn	7	41	2	41	Y	Y	Y	N	N	N	N	
