Western-and-Wales	0813	Line of route	Line of Route / Sector Description	Line of Route / Sector Description		Gauge								Notes
Western-and-Wales	0813					W6a	W7	W8	W9	W9Plus	W10	W10A	W12	
Western-and-Wales	0813	GW900	Llandore Jn – Llandeilo Jn	Llandore Jn	Llandeilo Jn	Y	N	N	N	N	N	N	N	
Western-and-Wales	0813	GW900	Llandeilo Jn – Carmarthen Bridge Jn	Llandeilo Jn	Carmarthen Bridge Jn	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0813	GW900	Carmarthen Bridge Jn – Whitland Jn	Carmarthen Bridge Jn	Whitland Jn	Y	Y	S1	N	N	N	N	N	S1 The following combinations are permitted, up to: 2591(h) x 2500(w) on FCA/FYA wagons 2629(h) x 2550(w) on FEA FSA/FTA wagons 2616(h) x 2550(w) on KFA wagons 2896(h) x 2500(w) on FLA FAA wagons 15mph Down Line Br. SWM2 Llanygors [251m 63ch] 15mph Up Line SWM2 Whitland Tunne [257m 01ch – 257m 10ch]
Western-and-Wales	0813	GW900	Whitland Jn – Clarbeston Road Jn	Whitland Jn	Clarbeston Road Jn	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0813	GW900	Clarbeston Road Jn – Fishguard Harbour	Clarbeston Road Jn	Fishguard Harbour	Y *	N	N	N	N	N	N	N	
Western-and-Wales	0813	GW900	Long Dyke Jn – Cardiff Docks	Long Dyke Jn	Cardiff Docks	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0813	GW900	Margam Moors Jn – Margam Abbey Works East Jn	Margam Moors Jn	Margam Abbey Works East Jn	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0813	GW900	Briton Ferry – Baglan Bay	Briton Ferry	Baglan Bay	Y	Y	Y	N	N	N	N	N	
Western-and-Wales	0813	GW9001	Landore Jn – Swansea	Landore Jn	Swansea	Y *	N	N	N	N	N	N	N	
Western-and-Wales	0813	GW906	Swansea Loop East Jn – Swansea Loop West Jn	Swansea Loop East Jn	Swansea Loop West Jn	Y	N	N	N	N	N	N	N	
